contract_id,contract_name,address,file_path,compiler_version,has_reentrancy,has_access_control_issues,has_timestamp_dependency,has_unchecked_call,has_reentrancy_unlimited,has_reentrancy_benign,has_reentrancy_events,has_unchecked_transfer,has_controlled_delegatecall,has_delegatecall_loop,has_uninitialized_state,has_uninitialized_storage,has_uninitialized_local,has_tx_origin,has_inline_assembly,has_locked_ether,has_msg_value_loop,has_shadowing_state,has_shadowing_builtin,has_shadowing_abstract,has_unused_state_vars,has_unused_return_values,has_incorrect_solc_version,has_floating_pragma,has_outdated_compiler,high_severity_count,medium_severity_count,low_severity_count,num_functions,num_external_calls,num_state_vars,num_modifiers,max_cyclomatic_complexity,num_low_level_calls,lines_of_code,num_contracts_in_file,num_dependencies,avg_function_complexity,num_functions_high_complexity,num_comments,comment_to_code_ratio,num_payable_functions,num_library_calls,inheritance_depth,num_unused_functions,high_confidence_detectors,medium_confidence_detectors,low_confidence_detectors,security_detectors_triggered,optimization_detectors_triggered,total_detector_hits,unique_vulnerability_types,detectors_per_function,detectors_per_loc,risk_score_simple,risk_score_weighted,is_high_risk,contract_complexity_category,failure_reason,error_message,cfg_num_nodes,cfg_num_edges,cfg_num_cycles,cfg_max_depth,cfg_avg_branching,cfg_has_complex_loops,cfg_num_exit_points,cfg_cyclomatic_total,cg_num_nodes,cg_num_edges,cg_max_call_depth,cg_num_external_calls,cg_external_call_ratio,cg_has_cyclic_calls,cg_num_public_entry_points,cg_num_internal_functions,cg_avg_calls_per_function,cg_num_leaf_functions,dfg_num_state_vars,dfg_num_tainted_flows,dfg_has_cross_function_flow,dfg_num_sensitive_sinks,dfg_num_external_sources,dfg_taint_to_sink_ratio,dfg_num_unvalidated_inputs
2,DSToken,0x9f8F72aA00000000000000000000000000000000,/home/motafeq/projects/chainguardian-ai/blockchain/contracts/collected/DSToken_0x9f8F72aA.sol,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2,24,14,0,3,0,3,0,0,1,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,simple,,,0,0,0,0,0.0,False,0,0,0,0,0,0,0.0,False,0,0,0.0,0,0,0,False,0,0,0.0,0
5,Uni,0x1f9840a800000000000000000000000000000000,blockchain/contracts/collected/Uni_0x1f9840a8.sol,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1,15,24,10,17,0,14,0,0,1,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,simple,,,176,163,2,19,0.9261363636363636,True,19,56,24,42,4,10,0.19230769230769232,False,13,11,1.75,10,17,10,True,0,55,0.0,21
7,SDAO,0xc20059e000000000000000000000000000000000,blockchain/contracts/collected/SDAO_0xc20059e0,,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,7,15,8,12,1,7,1,0,1,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,simple,,,115,108,0,11,0.9391304347826087,False,9,36,15,28,2,8,0.2222222222222222,True,12,3,1.8666666666666667,13,12,13,True,2,33,6.5,13
9,SmartToken,0x1f573d6f00000000000000000000000000000000,blockchain/contracts/collected/SmartToken_0x1f573d6f.sol,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,47,7,0,2,1,3,0,0,1,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,simple,,,46,41,0,7,0.8913043478260869,False,2,11,7,15,1,0,0.0,True,6,1,2.142857142857143,10,2,5,True,0,13,0.0,6
10,MarsToken,0x66C0DDEd00000000000000000000000000000000,blockchain/contracts/collected/MarsToken_0x66C0DDEd.sol,,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1,16,12,11,6,0,14,0,0,1,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,simple,,,0,0,0,0,0.0,False,0,0,0,0,0,0,0.0,False,0,0,0.0,0,0,0,False,0,0,0.0,0
12,PENDLE,0x8085071200000000000000000000000000000000,blockchain/contracts/collected/PENDLE_0x80850712,,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,2,48,28,19,31,0,14,0,0,1,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,simple,,,0,0,0,0,0.0,False,0,0,0,0,0,0,0.0,False,0,0,0.0,0,0,0,False,0,0,0.0,0
13,SolidlyProxy,0x777172D800000000000000000000000000000000,blockchain/contracts/collected/SolidlyProxy_0x777172D8,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,1,16,15,0,4,2,3,0,0,1,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,simple,,,71,57,0,15,0.8028169014084507,False,1,17,15,27,2,0,0.0,False,13,2,1.8,12,4,0,True,0,4,0.0,4
14,MiniMeToken,0x6C16119B00000000000000000000000000000000,blockchain/contracts/collected/MiniMeToken_0x6C16119B.sol,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,2,55,22,12,12,0,12,0,0,1,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,simple,,,157,142,2,15,0.9044585987261147,True,29,58,22,33,3,12,0.26666666666666666,False,16,6,1.5,11,12,10,True,8,44,1.25,19
15,ERC677MultiBridgeToken,0x0Ae0550900000000000000000000000000000000,blockchain/contracts/collected/ERC677MultiBridgeToken_0x0Ae05509.sol,,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,63,6,4,4,0,4,0,0,1,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,simple,,,50,46,2,13,0.92,False,2,12,6,8,1,4,0.3333333333333333,True,5,1,1.3333333333333333,4,4,3,True,0,8,0.0,4
16,Proxy,0x7712c34200000000000000000000000000000000,blockchain/contracts/collected/Proxy_0x7712c342.sol,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0,0,7,4,0,2,1,3,0,0,1,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,False,simple,,,29,26,0,17,0.896551724137931,False,0,6,4,12,1,0,0.0,False,4,0,3.0,12,2,2,True,0,2,0.0,2
