contract_id,contract_name,address,file_path,compiler_version,data_source,has_reentrancy,has_access_control_issues,has_timestamp_dependency,has_unchecked_call,has_reentrancy_unlimited,has_reentrancy_benign,has_reentrancy_events,has_unchecked_transfer,has_controlled_delegatecall,has_delegatecall_loop,has_uninitialized_state,has_uninitialized_storage,has_uninitialized_local,has_tx_origin,has_inline_assembly,has_locked_ether,has_msg_value_loop,has_shadowing_state,has_shadowing_builtin,has_shadowing_abstract,has_unused_state_vars,has_unused_return_values,has_incorrect_solc_version,has_floating_pragma,has_outdated_compiler,high_severity_count,medium_severity_count,low_severity_count,num_functions,num_external_calls,num_state_vars,num_modifiers,max_cyclomatic_complexity,num_low_level_calls,lines_of_code,num_contracts_in_file,num_dependencies,avg_function_complexity,num_functions_high_complexity,num_comments,comment_to_code_ratio,num_payable_functions,num_library_calls,inheritance_depth,num_unused_functions,high_confidence_detectors,medium_confidence_detectors,low_confidence_detectors,security_detectors_triggered,optimization_detectors_triggered,total_detector_hits,unique_vulnerability_types,detectors_per_function,detectors_per_loc,risk_score_simple,risk_score_weighted,is_high_risk,contract_complexity_category,failure_reason,error_message,cfg_num_nodes,cfg_num_edges,cfg_num_cycles,cfg_max_depth,cfg_avg_branching,cfg_has_complex_loops,cfg_num_exit_points,cfg_cyclomatic_total,cg_num_nodes,cg_num_edges,cg_max_call_depth,cg_num_external_calls,cg_external_call_ratio,cg_has_cyclic_calls,cg_num_public_entry_points,cg_num_internal_functions,cg_avg_calls_per_function,cg_num_leaf_functions,dfg_num_state_vars,dfg_num_tainted_flows,dfg_has_cross_function_flow,dfg_num_sensitive_sinks,dfg_num_external_sources,dfg_taint_to_sink_ratio,dfg_num_unvalidated_inputs,label
464,OxO,0x5a3e6A7700000000000000000000000000000000,blockchain/contracts/collected/OxO_0x5a3e6A77.sol,,manual,True,True,False,False,True,True,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,4,2,23,25,20,22,1,17,0,278,7,1,1.88,1,28,0.10071942446043165,1,5,2,0,18,16,0,6,3,13,5,0.0,0.0,73.0,163.96923076923073,True,critical,,,139,124,2,18,0.8920863309352518,False,9,47,25,41,3,20,0.32786885245901637,False,19,6,1.64,17,22,8,True,4,21,2.0,12,
465,SushiToken,0x6b35950600000000000000000000000000000000,blockchain/contracts/collected/SushiToken_0x6b359506.sol,,manual,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,0,1,35,12,5,6,0,14,0,902,7,1,3.1666666666666665,2,528,0.5853658536585366,0,2,2,0,20,16,0,1,0,10,5,0.0,0.0,40.0,124.79999999999998,True,critical,,,95,91,2,19,0.9578947368421052,True,12,38,12,20,5,5,0.2,False,6,6,1.6666666666666667,12,6,4,True,0,24,0.0,10,
466,SDAO,0xc20059e000000000000000000000000000000000,blockchain/contracts/collected/SDAO_0xc20059e0,,manual,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0,0,7,15,8,12,1,7,1,367,2,1,2.4,0,183,0.4986376021798365,0,0,0,0,6,1,0,0,0,5,4,0.0,0.0,7.0,9.379999999999999,True,moderate,,,115,108,0,11,0.9391304347826087,False,9,36,15,28,2,8,0.2222222222222222,True,12,3,1.8666666666666667,13,12,13,True,2,33,6.5,13,
471,ERC1967Proxy,0x534D1F5E00000000000000000000000000000000,blockchain/contracts/collected/ERC1967Proxy_0x534D1F5E.sol,,manual,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,6,4,34,3,1,0,0,1,0,790,14,1,1.0,0,467,0.5911392405063292,1,0,1,0,18,26,0,10,0,10,5,0.0,0.0,114.0,412.67999999999995,True,critical,,,8,5,0,2,0.625,False,1,3,3,4,1,1,0.2,False,1,2,1.3333333333333333,5,0,0,True,0,2,0.0,1,
473,NumeraireBackend,0x1776e1f200000000000000000000000000000000,blockchain/contracts/collected/NumeraireBackend_0x1776e1f2.sol,,manual,False,False,True,True,False,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,11,1,111,22,13,7,0,3,9,382,5,1,1.1818181818181819,0,83,0.21727748691099477,0,0,2,0,108,22,0,12,0,17,6,0.0,0.0,226.0,1640.4941176470588,True,critical,,,112,90,0,10,0.8035714285714286,False,19,26,22,46,1,13,0.22033898305084745,False,20,2,2.090909090909091,17,7,16,True,11,54,1.4545454545454546,19,
477,UwU,0x55C08ca500000000000000000000000000000000,blockchain/contracts/collected/UwU_0x55C08ca5.sol,,manual,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,0,4,29,11,11,7,2,1,0,573,9,1,1.0,0,225,0.39267015706806285,0,11,2,0,9,24,0,4,0,7,4,0.0,0.0,49.0,180.60000000000002,True,critical,,,41,30,0,5,0.7317073170731707,False,2,11,11,14,2,11,0.44,False,8,3,1.2727272727272727,7,7,6,True,0,12,0.0,8,
478,Proxy,0x7712c34200000000000000000000000000000000,blockchain/contracts/collected/Proxy_0x7712c342.sol,,manual,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0,0,7,4,0,2,1,3,0,44,1,1,1.5,0,4,0.09090909090909091,0,0,0,0,5,2,0,0,0,4,2,0.0,0.0,7.0,11.2,False,moderate,,,29,26,0,17,0.896551724137931,False,0,6,4,12,1,0,0.0,False,4,0,3.0,12,2,2,True,0,2,0.0,2,
481,DODOToken,0x43Dfc41500000000000000000000000000000000,blockchain/contracts/collected/DODOToken_0x43Dfc415.sol,,manual,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,7,7,5,6,0,1,0,134,2,1,1.0,0,51,0.3805970149253731,0,4,0,0,6,5,0,0,0,4,1,0.0,0.0,7.0,16.625,False,moderate,,,28,21,0,7,0.75,False,5,7,7,2,1,5,0.7142857142857143,False,6,1,0.2857142857142857,6,6,3,True,2,10,1.5,5,
492,AjnaToken,0x9a96ec9b00000000000000000000000000000000,blockchain/contracts/collected/AjnaToken_0x9a96ec9b,,manual,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,2,0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0,0,0,2,0,0,0,0,1,1,0.0,0.0,2.0,4.0,False,simple,,,0,0,0,0,0.0,False,0,0,0,0,0,0,0.0,False,0,0,0.0,0,0,0,False,0,0,0.0,0,
493,Uni,0x1f9840a800000000000000000000000000000000,blockchain/contracts/collected/Uni_0x1f9840a8.sol,,manual,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,0,1,15,24,10,17,0,14,0,493,2,1,2.3333333333333335,2,229,0.4645030425963489,0,3,0,0,4,12,0,1,0,6,3,0.0,0.0,20.0,41.33333333333333,True,complex,,,176,163,2,19,0.9261363636363636,True,19,56,24,42,4,10,0.19230769230769232,False,13,11,1.75,10,17,10,True,0,55,0.0,21,
