contract_id,contract_name,address,file_path,compiler_version,data_source,has_reentrancy,has_access_control_issues,has_timestamp_dependency,has_unchecked_call,has_reentrancy_unlimited,has_reentrancy_benign,has_reentrancy_events,has_unchecked_transfer,has_controlled_delegatecall,has_delegatecall_loop,has_uninitialized_state,has_uninitialized_storage,has_uninitialized_local,has_tx_origin,has_inline_assembly,has_locked_ether,has_msg_value_loop,has_shadowing_state,has_shadowing_builtin,has_shadowing_abstract,has_unused_state_vars,has_unused_return_values,has_incorrect_solc_version,has_floating_pragma,has_outdated_compiler,high_severity_count,medium_severity_count,low_severity_count,num_functions,num_external_calls,num_state_vars,num_modifiers,max_cyclomatic_complexity,num_low_level_calls,lines_of_code,num_contracts_in_file,num_dependencies,avg_function_complexity,num_functions_high_complexity,num_comments,comment_to_code_ratio,num_payable_functions,num_library_calls,inheritance_depth,num_unused_functions,high_confidence_detectors,medium_confidence_detectors,low_confidence_detectors,security_detectors_triggered,optimization_detectors_triggered,total_detector_hits,unique_vulnerability_types,detectors_per_function,detectors_per_loc,risk_score_simple,risk_score_weighted,is_high_risk,contract_complexity_category,failure_reason,error_message,cfg_num_nodes,cfg_num_edges,cfg_num_cycles,cfg_max_depth,cfg_avg_branching,cfg_has_complex_loops,cfg_num_exit_points,cfg_cyclomatic_total,cg_num_nodes,cg_num_edges,cg_max_call_depth,cg_num_external_calls,cg_external_call_ratio,cg_has_cyclic_calls,cg_num_public_entry_points,cg_num_internal_functions,cg_avg_calls_per_function,cg_num_leaf_functions,dfg_num_state_vars,dfg_num_tainted_flows,dfg_has_cross_function_flow,dfg_num_sensitive_sinks,dfg_num_external_sources,dfg_taint_to_sink_ratio,dfg_num_unvalidated_inputs
1,phishable,,data/smartbugs_curated/dataset/access_control/phishable.sol,,smartbugs_curated,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,1,1,5,0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0,0,0,3,4,0,2,0,5,3,0.0,0.0,20.0,23.200000000000003,True,complex,,,0,0,0,0,0.0,False,0,0,0,0,0,0,0.0,False,0,0,0.0,0,0,0,False,0,0,0.0,0
2,parity_wallet_bug_1,,data/smartbugs_curated/dataset/access_control/parity_wallet_bug_1.sol,,smartbugs_curated,True,True,True,True,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,True,False,False,3,3,66,0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0,0,0,74,7,0,6,0,17,8,0.0,0.0,111.0,515.1705882352942,True,critical,,,0,0,0,0,0.0,False,0,0,0,0,0,0,0.0,False,0,0,0.0,0,0,0,False,0,0,0.0,0
3,arbitrary_location_write_simple,,data/smartbugs_curated/dataset/access_control/arbitrary_location_write_simple.sol,,smartbugs_curated,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,1,6,0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0,0,0,7,1,0,2,0,4,1,0.0,0.0,21.0,40.425,True,moderate,,,0,0,0,0,0.0,False,0,0,0,0,0,0,0.0,False,0,0,0.0,0,0,0,False,0,0,0.0,0
4,wallet_03_wrong_constructor,,data/smartbugs_curated/dataset/access_control/wallet_03_wrong_constructor.sol,,smartbugs_curated,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,4,0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0,0,0,2,2,0,0,1,3,2,0.0,0.0,4.0,4.533333333333333,False,moderate,,,0,0,0,0,0.0,False,0,0,0,0,0,0,0.0,False,0,0,0.0,0,0,0,False,0,0,0.0,0
5,rubixi,,data/smartbugs_curated/dataset/access_control/rubixi.sol,,smartbugs_curated,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,5,25,0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0,0,0,15,16,0,6,4,11,4,0.0,0.0,60.0,142.9090909090909,True,critical,,,0,0,0,0,0.0,False,0,0,0,0,0,0,0.0,False,0,0,0.0,0,0,0,False,0,0,0.0,0
6,mycontract,,data/smartbugs_curated/dataset/access_control/mycontract.sol,,smartbugs_curated,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,1,1,3,0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0,0,0,2,3,0,2,0,4,3,0.0,0.0,18.0,18.45,True,moderate,,,0,0,0,0,0.0,False,0,0,0,0,0,0,0.0,False,0,0,0.0,0,0,0,False,0,0,0.0,0
7,wallet_02_refund_nosub,,data/smartbugs_curated/dataset/access_control/wallet_02_refund_nosub.sol,,smartbugs_curated,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,4,0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0,0,0,2,2,0,0,1,3,2,0.0,0.0,4.0,4.533333333333333,False,moderate,,,0,0,0,0,0.0,False,0,0,0,0,0,0,0.0,False,0,0,0.0,0,0,0,False,0,0,0.0,0
8,incorrect_constructor_name1,,data/smartbugs_curated/dataset/access_control/incorrect_constructor_name1.sol,,smartbugs_curated,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,3,0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0,0,0,3,0,0,0,0,2,1,0.0,0.0,3.0,4.5,False,simple,,,0,0,0,0,0.0,False,0,0,0,0,0,0,0.0,False,0,0,0.0,0,0,0,False,0,0,0.0,0
9,wallet_04_confused_sign,,data/smartbugs_curated/dataset/access_control/wallet_04_confused_sign.sol,,smartbugs_curated,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,4,0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0,0,0,2,2,0,0,1,3,2,0.0,0.0,4.0,4.533333333333333,False,moderate,,,0,0,0,0,0.0,False,0,0,0,0,0,0,0.0,False,0,0,0.0,0,0,0,False,0,0,0.0,0
10,multiowned_vulnerable,,data/smartbugs_curated/dataset/access_control/multiowned_vulnerable.sol,,smartbugs_curated,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,4,0,0,0,0,0,0,0,1,0,0.0,0,0,0.0,0,0,0,0,4,0,0,0,0,2,1,0.0,0.0,4.0,8.0,False,moderate,,,0,0,0,0,0.0,False,0,0,0,0,0,0,0.0,False,0,0,0.0,0,0,0,False,0,0,0.0,0
