vulnerability,accuracy,precision,recall,f1_score,roc_auc,cv_f1,cv_std,n_train_positive,n_test_positive,tn,fp,fn,tp,top_feature,top_importance
has_reentrancy,0.8571428571428571,0.6111111111111112,0.8461538461538461,0.7096774193548387,0.916923076923077,0.6137736498108015,0.06329189502341047,52,13,43,7,2,11,num_functions,0.1801854246443453
has_unchecked_call,0.9047619047619048,0.9090909090909091,0.8333333333333334,0.8695652173913043,0.9460470085470086,0.8341971753736459,0.07337687029165268,93,24,37,2,4,20,lines_of_code,0.14602118090132143
has_access_control_issues,0.9523809523809523,0.8,0.6666666666666666,0.7272727272727273,0.8143274853801169,0.6045421245421245,0.12168266609772015,34,6,56,1,2,4,comment_to_code_ratio,0.17833512980317315
has_timestamp_dependency,0.9047619047619048,0.8181818181818182,0.6923076923076923,0.75,0.8846153846153846,0.5666666666666667,0.09331389496316869,40,13,48,2,4,9,max_cyclomatic_complexity,0.18918558603162355
has_reentrancy_unlimited,0.9841269841269841,0.8,1.0,0.8888888888888888,0.9957627118644067,0.4974603174603175,0.06820300792300531,21,4,58,1,0,4,num_comments,0.22642012816166054
has_uninitialized_state,0.9523809523809523,0.0,0.0,0.0,0.5083333333333333,,,2,3,60,0,3,0,num_functions,0.16344627754957708
has_shadowing_state,1.0,1.0,1.0,1.0,1.0,0.5933333333333334,0.3388870673903689,12,1,62,0,0,1,num_payable_functions,0.20521127530065456
has_reentrancy_events,1.0,1.0,1.0,1.0,1.0,0.9333333333333332,0.13333333333333336,7,1,62,0,0,1,lines_of_code,0.30455912954094594
has_unused_state_vars,0.9841269841269841,1.0,0.5,0.6666666666666666,0.9918032786885247,0.4,0.48989794855663565,7,2,61,0,1,1,comment_to_code_ratio,0.23617383245984952
has_incorrect_solc_version,0.9682539682539683,1.0,0.9310344827586207,0.9642857142857143,0.9837728194726165,0.9151716500553709,0.023737044902004557,114,29,34,0,2,27,avg_function_complexity,0.237707658116082
