feature,importance
has_unchecked_call,0.50776273
has_floating_pragma,0.09732228
max_cyclomatic_complexity,0.07003198
cg_avg_calls_per_function,0.053477913
has_inline_assembly,0.033974126
has_unused_return_values,0.032061137
high_severity_count,0.027444812
security_detectors_triggered,0.02639737
dfg_taint_to_sink_ratio,0.01930435
has_uninitialized_local,0.016586563
has_locked_ether,0.0147730205
total_detector_hits,0.0135244075
has_reentrancy_unlimited,0.009431022
optimization_detectors_triggered,0.0089172935
medium_confidence_detectors,0.008671078
unique_vulnerability_types,0.006896121
has_access_control_issues,0.006218105
has_controlled_delegatecall,0.0052403836
low_severity_count,0.004586683
risk_score_simple,0.004011683
num_library_calls,0.0039827754
risk_score_weighted,0.0037879993
high_confidence_detectors,0.0032544592
has_shadowing_state,0.003212261
num_state_vars,0.003160259
medium_severity_count,0.0029119477
dfg_num_sensitive_sinks,0.0027541616
has_reentrancy,0.0021117188
cg_external_call_ratio,0.0019322849
has_unchecked_transfer,0.0014845016
dfg_has_cross_function_flow,0.0014077027
has_timestamp_dependency,0.0014017867
is_high_risk,0.0010191113
has_reentrancy_events,0.00094592816
has_reentrancy_benign,0.0
has_shadowing_abstract,0.0
has_shadowing_builtin,0.0
has_msg_value_loop,0.0
inheritance_depth,0.0
num_modifiers,0.0
num_low_level_calls,0.0
num_payable_functions,0.0
has_outdated_compiler,0.0
has_incorrect_solc_version,0.0
num_external_calls,0.0
has_unused_state_vars,0.0
has_tx_origin,0.0
has_uninitialized_storage,0.0
has_uninitialized_state,0.0
has_delegatecall_loop,0.0
cfg_num_edges,0.0
cfg_num_cycles,0.0
cfg_max_depth,0.0
cfg_num_nodes,0.0
cg_num_nodes,0.0
cfg_cyclomatic_total,0.0
cfg_num_exit_points,0.0
cfg_has_complex_loops,0.0
cfg_avg_branching,0.0
cg_num_external_calls,0.0
cg_max_call_depth,0.0
cg_num_edges,0.0
cg_num_internal_functions,0.0
cg_num_public_entry_points,0.0
cg_has_cyclic_calls,0.0
cg_num_leaf_functions,0.0
dfg_num_tainted_flows,0.0
dfg_num_state_vars,0.0
dfg_num_external_sources,0.0
dfg_num_unvalidated_inputs,0.0
