contract_name,file_path,has_reentrancy,has_access_control_issues,has_timestamp_dependency,has_unchecked_call,high_severity_count,medium_severity_count,low_severity_count,num_functions,num_external_calls,num_state_vars,num_modifiers,max_cyclomatic_complexity,num_low_level_calls
InitializableAdminUpgradeabilityProxy,blockchain/contracts/collected/InitializableAdminUpgradeabilityProxy_0x7fc66500.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
MiniMeToken,blockchain/contracts/collected/MiniMeToken_0x5a98fcbe.sol,True,False,False,False,1,2,55,22,12,12,0,12,0
TransparentUpgradeableProxy,blockchain/contracts/collected/TransparentUpgradeableProxy_0xec53bf91.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
EtherFiGovernanceToken,blockchain/contracts/collected/EtherFiGovernanceToken_0xfe0c3006.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
GateChainToken,blockchain/contracts/collected/GateChainToken_0xe66747a1.sol,False,False,False,False,0,1,5,15,11,9,2,9,0
Sky,blockchain/contracts/collected/Sky_0x56072c95.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
ENA,blockchain/contracts/collected/ENA_0x57e114b6.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
ERC1967Proxy,blockchain/contracts/collected/ERC1967Proxy_0x58D97B57.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
PENDLE,blockchain/contracts/collected/PENDLE_0x80850712.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
SDAO,blockchain/contracts/collected/SDAO_0xc20059e0.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
MapleTokenProxy,blockchain/contracts/collected/MapleTokenProxy_0x643c4e15.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
BMEX,blockchain/contracts/collected/BMEX_0xb113c6cf.sol,True,False,False,False,0,1,24,25,11,7,0,1,0
TransparentUpgradeableProxy,blockchain/contracts/collected/TransparentUpgradeableProxy_0x68749665.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
SDAO,blockchain/contracts/collected/SDAO_0xc20059e0.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
Vyper,blockchain/contracts/collected/Vyper_contract_0xD533a949.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
Proxy,blockchain/contracts/collected/Proxy_0x7712c342.sol,False,False,False,False,0,0,7,4,0,2,1,3,0
RocketTokenRPL,blockchain/contracts/collected/RocketTokenRPL_0xd3352606.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
ObolToken,blockchain/contracts/collected/ObolToken_0x0b010000.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
Comp,blockchain/contracts/collected/Comp_0xc00e94cb.sol,False,False,True,False,0,1,5,20,3,12,0,14,0
Ondo,blockchain/contracts/collected/Ondo_0xfaba6f8e.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
AdminUpgradeabilityProxy,blockchain/contracts/collected/AdminUpgradeabilityProxy_0x45804880.sol,False,False,False,True,0,3,15,10,2,1,1,1,1
CFG,blockchain/contracts/collected/CFG_0xcccccccc.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
SwissBorgToken,blockchain/contracts/collected/SwissBorgToken_0x64d0f55c.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
AdminUpgradeabilityProxy,blockchain/contracts/collected/AdminUpgradeabilityProxy_0x48c33997.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
TORN,blockchain/contracts/collected/TORN_0x77777fed.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
Eul,blockchain/contracts/collected/Eul_0xd9fcd98c.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
ConvexToken,blockchain/contracts/collected/ConvexToken_0x4e3fbd56.sol,False,False,False,True,0,0,67,4,7,5,0,9,0
PowerToken,blockchain/contracts/collected/PowerToken_0x5983B89F.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
ENA,blockchain/contracts/collected/ENA_0x57e114b6.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
StarkNetToken,blockchain/contracts/collected/StarkNetToken_0xCa14007E.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
Uni,blockchain/contracts/collected/Uni_0x1f9840a8.sol,False,False,True,False,0,1,15,24,10,17,0,14,0
EtherFiGovernanceToken,blockchain/contracts/collected/EtherFiGovernanceToken_0xfe0c3006.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
Renzo,blockchain/contracts/collected/Renzo_0x3b508054.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
TransparentUpgradeableProxy,blockchain/contracts/collected/TransparentUpgradeableProxy_0x3c3a81e8.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
T,blockchain/contracts/collected/T_0xcdf7028c.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
Stader,blockchain/contracts/collected/Stader_0x30d20208.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
PhemexToken,blockchain/contracts/collected/PhemexToken_0xbbb32f99.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
YFI,blockchain/contracts/collected/YFI_0x0bc529c0.sol,False,False,False,True,0,0,21,5,0,2,0,1,0
Ondo,blockchain/contracts/collected/Ondo_0xfaba6f8e.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
TransparentUpgradeableProxy,blockchain/contracts/collected/TransparentUpgradeableProxy_0x25933865.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
NexoToken,blockchain/contracts/collected/NexoToken_0xb62132e3.sol,False,False,True,False,0,3,43,11,0,33,0,11,0
InitializableAdminUpgradeabilityProxy,blockchain/contracts/collected/InitializableAdminUpgradeabilityProxy_0x7fc66500.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
Comp,blockchain/contracts/collected/Comp_0xc00e94cb.sol,False,False,True,False,0,1,5,20,3,12,0,14,0
ERC677MultiBridgeToken,blockchain/contracts/collected/ERC677MultiBridgeToken_0x0Ae05509.sol,True,False,True,True,0,0,63,6,4,4,0,4,0
ERC1967Proxy,blockchain/contracts/collected/ERC1967Proxy_0x77146784.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
ConnextERC20,blockchain/contracts/collected/ConnextERC20_0xfe67a445.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
FRAXShares,blockchain/contracts/collected/FRAXShares_0x3432b6a6.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
InstaToken,blockchain/contracts/collected/InstaToken_0x6f40d4a6.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
SOLV,blockchain/contracts/collected/SOLV_0x256f2d67.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
