contract_name,file_path,has_reentrancy,has_access_control_issues,has_timestamp_dependency,has_unchecked_call,high_severity_count,medium_severity_count,low_severity_count,num_functions,num_external_calls,num_state_vars,num_modifiers,max_cyclomatic_complexity,num_low_level_calls,analysis_error
TetherToken,blockchain/contracts/collected/TetherToken_0xdAC17F95.sol,False,False,False,False,0,0,0,0,0,0,0,0,0,"Invalid compilation: 
Invalid solc compilation blockchain/contracts/collected/TetherToken_0xdAC17F95.sol:79:35: Error: The state mutability modifier ""constant"" was removed in version 0.5.0. Use ""view"" or ""pure"" instead.
    function totalSupply() public constant returns (uint);
                                  ^------^
blockchain/contracts/collected/TetherToken_0xdAC17F95.sol:80:44: Error: The state mutability modifier ""constant"" was removed in version 0.5.0. Use ""view"" or ""pure"" instead.
    function balanceOf(address who) public constant returns (uint);
                                           ^------^
blockchain/contracts/collected/TetherToken_0xdAC17F95.sol:90:63: Error: The state mutability modifier ""constant"" was removed in version 0.5.0. Use ""view"" or ""pure"" instead.
    function allowance(address owner, address spender) public constant returns (uint);
                                                              ^------^
blockchain/contracts/collected/TetherToken_0xdAC17F95.sol:142:47: Error: The state mutability modifier ""constant"" was removed in version 0.5.0. Use ""view"" or ""pure"" instead.
    function balanceOf(address _owner) public constant returns (uint balance) {
                                              ^------^
blockchain/contracts/collected/TetherToken_0xdAC17F95.sol:213:65: Error: The state mutability modifier ""constant"" was removed in version 0.5.0. Use ""view"" or ""pure"" instead.
    function allowance(address _owner, address _spender) public constant returns (uint remaining) {
                                                                ^------^
blockchain/contracts/collected/TetherToken_0xdAC17F95.sol:267:58: Error: The state mutability modifier ""constant"" was removed in version 0.5.0. Use ""view"" or ""pure"" instead.
    function getBlackListStatus(address _maker) external constant returns (bool) {
                                                         ^------^
blockchain/contracts/collected/TetherToken_0xdAC17F95.sol:271:34: Error: The state mutability modifier ""constant"" was removed in version 0.5.0. Use ""view"" or ""pure"" instead.
    function getOwner() external constant returns (address) {
                                 ^------^
blockchain/contracts/collected/TetherToken_0xdAC17F95.sol:356:44: Error: The state mutability modifier ""constant"" was removed in version 0.5.0. Use ""view"" or ""pure"" instead.
    function balanceOf(address who) public constant returns (uint) {
                                           ^------^
blockchain/contracts/collected/TetherToken_0xdAC17F95.sol:374:65: Error: The state mutability modifier ""constant"" was removed in version 0.5.0. Use ""view"" or ""pure"" instead.
    function allowance(address _owner, address _spender) public constant returns (uint remaining) {
                                                                ^------^
blockchain/contracts/collected/TetherToken_0xdAC17F95.sol:390:35: Error: The state mutability modifier ""constant"" was removed in version 0.5.0. Use ""view"" or ""pure"" instead.
    function totalSupply() public constant returns (uint) {
                                  ^------^
"
CErc20Delegator,blockchain/contracts/collected/CErc20Delegator_0x2Db6c82C.sol,False,False,False,False,0,0,0,0,0,0,0,0,0,"Invalid compilation: 
Invalid solc compilation blockchain/contracts/collected/CErc20Delegator_0x2Db6c82C.sol:3:1: Error: Expected pragma, import directive or contract/interface/library definition.
{{
^
"
UniswapV2Router02,blockchain/contracts/collected/UniswapV2Router02_0xd9e1cE17.sol,False,False,False,False,0,0,0,0,0,0,0,0,0,"Invalid compilation: 
Invalid solc compilation blockchain/contracts/collected/UniswapV2Router02_0xd9e1cE17.sol:186:34: Error: Expected ';' but got '{'
        (bool success,) = to.call{value:value}(new bytes(0));
                                 ^
"
DSToken,blockchain/contracts/collected/DSToken_0x9f8F72aA.sol,False,False,False,False,0,0,0,0,0,0,0,0,0,"Invalid compilation: 
Invalid solc compilation blockchain/contracts/collected/DSToken_0x9f8F72aA.sol:4:1: Error: Source file requires different compiler version (current compiler is 0.5.0+commit.1d4f565a.Linux.g++ - note that nightly builds are considered to be strictly less than the released version
pragma solidity ^0.4.15;
^----------------------^
blockchain/contracts/collected/DSToken_0x9f8F72aA.sol:37:5: Error: Functions are not allowed to have the same name as the contract. If you intend this to be a constructor, use ""constructor(...) { ... }"" to define it.
    function DSAuth() public {
    ^ (Relevant source part starts here and spans across multiple lines).
blockchain/contracts/collected/DSToken_0x9f8F72aA.sol:332:5: Error: Functions are not allowed to have the same name as the contract. If you intend this to be a constructor, use ""constructor(...) { ... }"" to define it.
    function DSTokenBase(uint supply) public {
    ^ (Relevant source part starts here and spans across multiple lines).
blockchain/contracts/collected/DSToken_0x9f8F72aA.sol:405:5: Error: Functions are not allowed to have the same name as the contract. If you intend this to be a constructor, use ""constructor(...) { ... }"" to define it.
    function DSToken(bytes32 symbol_) public {
    ^ (Relevant source part starts here and spans across multiple lines).
blockchain/contracts/collected/DSToken_0x9f8F72aA.sol:37:5: Warning: This declaration shadows an existing declaration.
    function DSAuth() public {
    ^ (Relevant source part starts here and spans across multiple lines).
blockchain/contracts/collected/DSToken_0x9f8F72aA.sol:33:1: The shadowed declaration is here:
contract DSAuth is DSAuthEvents {
^ (Relevant source part starts here and spans across multiple lines).

blockchain/contracts/collected/DSToken_0x9f8F72aA.sol:332:5: Warning: This declaration shadows an existing declaration.
    function DSTokenBase(uint supply) public {
    ^ (Relevant source part starts here and spans across multiple lines).
blockchain/contracts/collected/DSToken_0x9f8F72aA.sol:327:1: The shadowed declaration is here:
contract DSTokenBase is ERC20, DSMath {
^ (Relevant source part starts here and spans across multiple lines).

blockchain/contracts/collected/DSToken_0x9f8F72aA.sol:405:5: Warning: This declaration shadows an existing declaration.
    function DSToken(bytes32 symbol_) public {
    ^ (Relevant source part starts here and spans across multiple lines).
blockchain/contracts/collected/DSToken_0x9f8F72aA.sol:400:1: The shadowed declaration is here:
contract DSToken is DSTokenBase(0), DSStop {
^ (Relevant source part starts here and spans across multiple lines).

blockchain/contracts/collected/DSToken_0x9f8F72aA.sol:39:9: Error: Event invocations have to be prefixed by ""emit"".
        LogSetOwner(msg.sender);
        ^---------------------^
blockchain/contracts/collected/DSToken_0x9f8F72aA.sol:47:9: Error: Event invocations have to be prefixed by ""emit"".
        LogSetOwner(owner);
        ^----------------^
blockchain/contracts/collected/DSToken_0x9f8F72aA.sol:55:9: Error: Event invocations have to be prefixed by ""emit"".
        LogSetAuthority(authority);
        ^------------------------^
blockchain/contracts/collected/DSToken_0x9f8F72aA.sol:55:25: Error: Invalid type for argument in function call. Invalid implicit conversion from contract DSAuthority to address requested.
        LogSetAuthority(authority);
                        ^-------^
blockchain/contracts/collected/DSToken_0x9f8F72aA.sol:71:43: Error: Invalid type for argument in function call. Invalid implicit conversion from contract DSAuth to address requested.
            return authority.canCall(src, this, sig);
                                          ^--^
blockchain/contracts/collected/DSToken_0x9f8F72aA.sol:199:9: Error: Event invocations have to be prefixed by ""emit"".
        LogNote(msg.sig, msg.sender, foo, bar, msg.value, msg.data);
        ^---------------------------------------------------------^
blockchain/contracts/collected/DSToken_0x9f8F72aA.sol:362:9: Error: Event invocations have to be prefixed by ""emit"".
        Transfer(src, dst, wad);
        ^---------------------^
blockchain/contracts/collected/DSToken_0x9f8F72aA.sol:370:9: Error: Event invocations have to be prefixed by ""emit"".
        Approval(msg.sender, guy, wad);
        ^----------------------------^
blockchain/contracts/collected/DSToken_0x9f8F72aA.sol:400:21: Error: Wrong argument count for constructor call: 1 arguments given but expected 0. Remove parentheses if you do not want to provide arguments here.
contract DSToken is DSTokenBase(0), DSStop {
                    ^------------^
blockchain/contracts/collected/DSToken_0x9f8F72aA.sol:432:9: Error: Event invocations have to be prefixed by ""emit"".
        Transfer(src, dst, wad);
        ^---------------------^
blockchain/contracts/collected/DSToken_0x9f8F72aA.sol:456:9: Error: Event invocations have to be prefixed by ""emit"".
        Mint(guy, wad);
        ^------------^
blockchain/contracts/collected/DSToken_0x9f8F72aA.sol:465:9: Error: Event invocations have to be prefixed by ""emit"".
        Burn(guy, wad);
        ^------------^
"
UniswapV2Pair,blockchain/contracts/collected/UniswapV2Pair_0xA478c297.sol,False,False,False,False,0,0,0,0,0,0,0,0,0,"Invalid compilation: 
Invalid solc compilation blockchain/contracts/collected/UniswapV2Pair_0xA478c297.sol:84:1: Error: Source file requires different compiler version (current compiler is 0.5.0+commit.1d4f565a.Linux.g++ - note that nightly builds are considered to be strictly less than the released version
pragma solidity =0.5.16;
^----------------------^
blockchain/contracts/collected/UniswapV2Pair_0xA478c297.sol:104:1: Error: Source file requires different compiler version (current compiler is 0.5.0+commit.1d4f565a.Linux.g++ - note that nightly builds are considered to be strictly less than the released version
pragma solidity =0.5.16;
^----------------------^
blockchain/contracts/collected/UniswapV2Pair_0xA478c297.sol:200:1: Error: Source file requires different compiler version (current compiler is 0.5.0+commit.1d4f565a.Linux.g++ - note that nightly builds are considered to be strictly less than the released version
pragma solidity =0.5.16;
^----------------------^
blockchain/contracts/collected/UniswapV2Pair_0xA478c297.sol:226:1: Error: Source file requires different compiler version (current compiler is 0.5.0+commit.1d4f565a.Linux.g++ - note that nightly builds are considered to be strictly less than the released version
pragma solidity =0.5.16;
^----------------------^
blockchain/contracts/collected/UniswapV2Pair_0xA478c297.sol:297:1: Error: Source file requires different compiler version (current compiler is 0.5.0+commit.1d4f565a.Linux.g++ - note that nightly builds are considered to be strictly less than the released version
pragma solidity =0.5.16;
^----------------------^
blockchain/contracts/collected/UniswapV2Pair_0xA478c297.sol:129:24: Error: Multiple matching identifiers. Resolving overloaded identifiers is not supported.
            chainId := chainid
                       ^-----^
"
Renzo,blockchain/contracts/collected/Renzo_0x3b508054.sol,False,False,False,False,0,0,0,0,0,0,0,0,0,"Invalid compilation: 
Invalid solc compilation blockchain/contracts/collected/Renzo_0x3b508054.sol:3:1: Error: Expected pragma, import directive or contract/interface/library definition.
{{
^
"
ObolToken,blockchain/contracts/collected/ObolToken_0x0b010000.sol,False,False,False,False,0,0,0,0,0,0,0,0,0,"Invalid compilation: 
Invalid solc compilation blockchain/contracts/collected/ObolToken_0x0b010000.sol:3:1: Error: Expected pragma, import directive or contract/interface/library definition.
{{
^
"
Melon,blockchain/contracts/collected/Melon_0xec67005c.sol,False,False,False,False,0,0,0,0,0,0,0,0,0,"Invalid compilation: 
Invalid solc compilation blockchain/contracts/collected/Melon_0xec67005c.sol:3:1: Error: Source file requires different compiler version (current compiler is 0.5.0+commit.1d4f565a.Linux.g++ - note that nightly builds are considered to be strictly less than the released version
pragma solidity ^0.4.24;
^----------------------^
blockchain/contracts/collected/Melon_0xec67005c.sol:382:18: Error: Data location must be ""memory"" for parameter in function, but none was given.
    constructor (string name, string symbol, uint8 decimals) public {
                 ^---------^
blockchain/contracts/collected/Melon_0xec67005c.sol:382:31: Error: Data location must be ""memory"" for parameter in function, but none was given.
    constructor (string name, string symbol, uint8 decimals) public {
                              ^-----------^
blockchain/contracts/collected/Melon_0xec67005c.sol:391:42: Error: Data location must be ""memory"" for return parameter in function, but none was given.
    function name() public view returns (string) {
                                         ^----^
blockchain/contracts/collected/Melon_0xec67005c.sol:398:44: Error: Data location must be ""memory"" for return parameter in function, but none was given.
    function symbol() public view returns (string) {
                                           ^----^
"
INV,blockchain/contracts/collected/INV_0x41d5d794.sol,False,False,False,False,0,0,0,0,0,0,0,0,0,"Invalid compilation: 
Invalid solc compilation blockchain/contracts/collected/INV_0x41d5d794.sol:3:1: Error: Expected pragma, import directive or contract/interface/library definition.
{{
^
"
AuraToken,blockchain/contracts/collected/AuraToken_0xc0c293ce.sol,False,False,False,False,0,0,0,0,0,0,0,0,0,"Invalid compilation: 
Invalid solc compilation blockchain/contracts/collected/AuraToken_0xc0c293ce.sol:3:1: Error: Expected pragma, import directive or contract/interface/library definition.
{{
^
"
