contract_name,file_path,address,data_source,has_reentrancy,has_access_control_issues,has_timestamp_dependency,has_unchecked_call,has_reentrancy_unlimited,has_reentrancy_benign,has_reentrancy_events,has_unchecked_transfer,has_controlled_delegatecall,has_delegatecall_loop,has_uninitialized_state,has_uninitialized_storage,has_uninitialized_local,has_tx_origin,has_inline_assembly,has_locked_ether,has_msg_value_loop,has_shadowing_state,has_shadowing_builtin,has_shadowing_abstract,has_unused_state_vars,has_unused_return_values,has_incorrect_solc_version,has_floating_pragma,has_outdated_compiler,high_severity_count,medium_severity_count,low_severity_count,high_confidence_detectors,medium_confidence_detectors,low_confidence_detectors,security_detectors_triggered,optimization_detectors_triggered,total_detector_hits,unique_vulnerability_types,detectors_per_function,detectors_per_loc,risk_score_simple,risk_score_weighted,is_high_risk,contract_complexity_category,num_functions,num_external_calls,num_state_vars,num_modifiers,max_cyclomatic_complexity,num_low_level_calls,lines_of_code,num_contracts_in_file,num_dependencies,avg_function_complexity,num_functions_high_complexity,num_comments,comment_to_code_ratio,num_payable_functions,num_library_calls,inheritance_depth,num_unused_functions,complexity_level,cfg_num_nodes,cfg_num_edges,cfg_num_cycles,cfg_max_depth,cfg_avg_branching,cfg_has_complex_loops,cfg_num_exit_points,cfg_cyclomatic_total,cg_num_nodes,cg_num_edges,cg_max_call_depth,cg_num_external_calls,cg_external_call_ratio,cg_has_cyclic_calls,cg_num_public_entry_points,cg_num_internal_functions,cg_avg_calls_per_function,cg_num_leaf_functions,dfg_num_state_vars,dfg_num_tainted_flows,dfg_has_cross_function_flow,dfg_num_sensitive_sinks,dfg_num_external_sources,dfg_taint_to_sink_ratio,dfg_num_unvalidated_inputs,cei_violations,cei_safe_functions,cei_pattern_score,has_reentrancy_guard,functions_with_reentrancy_guard,state_before_call_count,state_after_call_count,unchecked_calls_in_critical_context,failure_reason,error_message
SuperSimpleSafe,/tmp/tmpubrenzvq/01_super_simple_safe.sol,0x520a3424180a4f359c7dffe5336e7a29,adversarial,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,3,3,0,0,0,0,2,1,0.0,0.0,3.0,4.5,False,simple,2,0,1,0,1,0,16,1,1,1.0,0,6,0.375,0,0,0,0,0.0,4,2,0,1,0.5,False,1,2,2,0,0,0,0.0,False,2,0,0.0,2,1,1,True,0,1,0.0,1,0,0,1.0,False,0,0,0,0,,
ObviousReentrancy,/tmp/tmpr0ftsr3l/02_obvious_reentrancy.sol,0x76c270050591462ebac41d481a409009,adversarial,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,0,3,3,1,0,1,0,3,3,0.0,0.0,13.0,16.03333333333333,True,simple,2,1,1,0,1,1,22,1,1,1.0,0,9,0.4090909090909091,1,0,0,0,0.0,8,6,0,5,0.75,False,0,2,2,1,1,1,0.5,False,2,0,0.5,2,1,0,True,1,0,0.0,0,1,0,0.0,False,0,0,1,0,,
ComplexButSafe,/tmp/tmpyteuanry/03_complex_but_safe.sol,0x15f90a4d24bd4aae918dca3a1245520c,adversarial,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,9,8,1,0,0,0,3,2,0.0,0.0,9.0,26.1,False,simple,6,1,3,2,1,0,67,1,1,1.0,0,7,0.1044776119402985,0,0,0,0,0.0,21,15,0,4,0.7142857142857143,False,3,6,6,4,1,1,0.2,False,6,0,0.6666666666666666,6,3,2,True,1,6,2.0,4,0,0,1.0,False,0,0,0,0,,
SimpleButVulnerable,/tmp/tmp23ibrdbf/04_simple_but_vulnerable.sol,0x350f05dda5c14029821efe247696db9c,adversarial,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,3,2,1,0,0,0,2,1,0.0,0.0,3.0,4.05,False,simple,4,1,1,0,1,0,23,1,1,1.0,0,8,0.34782608695652173,1,0,0,0,0.0,8,4,0,2,0.5,False,0,4,4,2,1,1,0.3333333333333333,False,4,0,0.5,5,1,1,True,1,1,1.0,1,0,0,1.0,False,0,0,0,0,,
TimestampManipulation,/tmp/tmpuax9kc7h/05_timestamp_manipulation.sol,0xbf376b48b0d346e79314f0983e478375,adversarial,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,3,3,1,0,0,1,3,2,0.0,0.0,3.0,3.7,False,simple,2,1,2,0,1,0,22,1,1,1.0,0,8,0.36363636363636365,0,0,0,0,0.0,7,5,0,4,0.7142857142857143,False,0,2,2,1,1,1,0.5,False,2,0,0.5,2,2,0,True,1,0,0.0,0,0,1,1.0,False,0,1,0,0,,
UncheckedExternalCall,/tmp/tmpwnzwz4mf/06_unchecked_external_call.sol,0x976d00a9b6344e00895212841e4fc7e3,adversarial,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,1,6,4,3,0,1,0,4,2,0.0,0.0,11.0,16.775,False,simple,2,2,0,0,1,2,19,1,1,1.0,0,9,0.47368421052631576,2,0,0,0,0.0,6,4,0,3,0.6666666666666666,False,0,2,2,1,1,2,0.6666666666666666,False,2,0,0.5,2,0,2,False,2,2,1.0,2,0,0,1.0,False,0,0,0,0,,
IntegerOverflowOld,/tmp/tmpp1wlko8_/07_integer_overflow_old.sol,0x3f1b0c2c87fb44149453a6092e2790df,adversarial,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,2,2,0,0,0,0,1,1,0.0,0.0,2.0,4.0,False,simple,2,1,1,0,1,0,19,1,1,1.0,0,8,0.42105263157894735,1,0,0,0,0.0,5,3,0,2,0.6,False,0,2,2,0,0,1,1.0,False,2,0,0.0,2,1,1,True,1,1,1.0,1,0,1,1.0,False,0,1,0,0,,
SafeWithChecks,/tmp/tmptfrmaiit/08_safe_with_checks.sol,0x07ac3bf103904132b05b44a3458935df,adversarial,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,0,4,4,1,0,0,1,4,3,0.0,0.0,4.0,4.7,True,simple,4,1,3,2,1,1,43,1,1,1.0,0,7,0.16279069767441862,1,0,0,0,0.0,16,12,0,7,0.75,False,1,4,4,3,1,1,0.25,False,4,0,0.75,4,3,1,True,1,1,1.0,1,0,1,1.0,True,0,1,0,0,,
DelegatecallDanger,/tmp/tmpgk6t_r26/09_delegatecall_danger.sol,0x01412fdc571b4c018be0837b4ff244ae,adversarial,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,1,0,5,4,3,0,1,1,5,3,0.0,0.0,15.0,18.299999999999997,True,simple,2,1,1,0,1,1,18,1,1,1.0,0,7,0.3888888888888889,0,0,0,0,0.0,6,4,0,3,0.6666666666666666,False,0,2,2,1,1,1,0.5,False,2,0,0.5,2,1,2,False,1,3,2.0,2,0,0,1.0,False,0,0,0,0,,
TxOriginAuth,/tmp/tmp5ybir7p3/10_tx_origin_auth.sol,0xd347b4fae90d4de89eee8c28c33aa989,adversarial,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,1,1,2,3,2,0,2,1,4,3,0.0,0.0,17.0,18.7,True,simple,3,1,1,0,1,0,19,1,1,1.0,0,7,0.3684210526315789,1,0,0,0,0.0,6,3,0,2,0.5,False,0,3,3,2,1,1,0.3333333333333333,False,3,0,0.6666666666666666,4,1,0,True,1,0,0.0,0,0,0,1.0,False,0,0,0,0,,
