contract_name,file_path,has_reentrancy,has_access_control_issues,has_timestamp_dependency,has_unchecked_call,high_severity_count,medium_severity_count,low_severity_count,num_functions,num_external_calls,num_state_vars,num_modifiers,max_cyclomatic_complexity,num_low_level_calls,failure_reason,error_message
SOLV,/home/motafeq/projects/chainguardian-ai/blockchain/contracts/collected/SOLV_0x256f2d67,False,False,False,False,0,0,0,0,0,0,0,0,0,IMPORT_ERROR,"External library imports: Invalid compilation: 
Invalid solc compilation Error: Source ""@openzeppelin/contracts/token/ERC20/ERC20.sol"" not found: File not found.
 --> /home/motafeq/projects/chainguardian-ai/blockchain/contracts/collected/SOLV_0x256f2d67/Solv.sol:5:1:
  |
5 | import '@openzeppelin/contracts/token/ERC20/ERC20.sol';
  | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^

"
Synari,/home/motafeq/projects/chainguardian-ai/blockchain/contracts/collected/Synari_0x1bd1bc78,True,False,False,True,1,2,27,24,11,19,0,25,2,,
DSToken,/home/motafeq/projects/chainguardian-ai/blockchain/contracts/collected/DSToken_0x9f8F72aA.sol,True,False,False,False,0,2,24,14,0,3,0,3,0,,
AToken,/home/motafeq/projects/chainguardian-ai/blockchain/contracts/collected/AToken_0x6ee0f7bb.sol,True,True,True,True,9,26,429,23,30,10,2,7,0,,
SparkStarterToken,/home/motafeq/projects/chainguardian-ai/blockchain/contracts/collected/SparkStarterToken_0x7c19ccad.sol,True,True,True,True,7,10,55,17,32,32,0,17,5,,
INV,/home/motafeq/projects/chainguardian-ai/blockchain/contracts/collected/INV_0x41d5d794,False,False,True,False,0,1,19,30,8,17,1,14,0,,
AdminUpgradeabilityProxy,/home/motafeq/projects/chainguardian-ai/blockchain/contracts/collected/AdminUpgradeabilityProxy_0x544c42fb,False,False,False,False,0,0,0,0,0,0,0,0,0,IMPORT_ERROR,"External library imports: Invalid compilation: 
Invalid solc compilation Error: Source ""@openzeppelin/contracts/utils/Address.sol"" not found: File not found.
 --> /home/motafeq/projects/chainguardian-ai/blockchain/contracts/collected/AdminUpgradeabilityProxy_0x544c42fb/UpgradeabilityProxy.sol:6:1:
  |
6 | import '@openzeppelin/contracts/utils/Address.sol';
  | ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^

"
FRAXShares,/home/motafeq/projects/chainguardian-ai/blockchain/contracts/collected/FRAXShares_0x3432b6a6,False,False,False,True,1,6,73,0,0,0,0,0,0,,
IndexToken,/home/motafeq/projects/chainguardian-ai/blockchain/contracts/collected/IndexToken_0x0954906d.sol,False,False,True,False,0,1,5,20,3,12,0,14,0,,
OriginToken,/home/motafeq/projects/chainguardian-ai/blockchain/contracts/collected/OriginToken_0x8207c1ff.sol,False,False,True,True,0,0,53,7,3,1,0,1,1,,
