contract_name,file_path,has_reentrancy,has_access_control_issues,has_timestamp_dependency,has_unchecked_call,high_severity_count,medium_severity_count,low_severity_count,num_functions,num_external_calls,num_state_vars,num_modifiers,max_cyclomatic_complexity,num_low_level_calls
Vault,blockchain/contracts/collected/Vault_0xBA122222.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
UniswapV2Router02,blockchain/contracts/collected/UniswapV2Router02_0x7a250d56.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
Unitroller,blockchain/contracts/collected/Unitroller_0x3d981921.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
Seaport,blockchain/contracts/collected/Seaport_0x00000000.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
InitializableImmutableAdminUpgradeabilityProxy,blockchain/contracts/collected/InitializableImmutableAdminUpgradeabilityProxy_0x87870Bca.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
ENSRegistryWithFallback,blockchain/contracts/collected/ENSRegistryWithFallback_0x00000000.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
InitializableImmutableAdminUpgradeabilityProxy,blockchain/contracts/collected/InitializableImmutableAdminUpgradeabilityProxy_0x7d2768dE.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
WyvernExchange,blockchain/contracts/collected/WyvernExchange_0x7Be8076f.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
BAToken,blockchain/contracts/collected/BAToken_0x0D8775F6.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
LinkToken,blockchain/contracts/collected/LinkToken_0x51491077.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
BoredApeYachtClub,blockchain/contracts/collected/BoredApeYachtClub_0xBC4CA0Ed.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
InitializableAdminUpgradeabilityProxy,blockchain/contracts/collected/InitializableAdminUpgradeabilityProxy_0x7Fc66500.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
WyvernExchangeWithBulkCancellations,blockchain/contracts/collected/WyvernExchangeWithBulkCancellations_0x7f268357.sol,False,False,False,False,0,0,0,0,0,0,0,0,0
