feature_name,non_zero_count,mean_value,category
has_reentrancy,192,0.0,vulnerability
has_access_control_issues,155,0.0,vulnerability
has_timestamp_dependency,173,0.0,vulnerability
has_unchecked_call,395,0.0,vulnerability
has_reentrancy_unlimited,87,0.0,vulnerability
has_reentrancy_benign,18,0.0,vulnerability
has_reentrancy_events,31,0.0,vulnerability
has_unchecked_transfer,9,0.0,vulnerability
has_controlled_delegatecall,6,0.0,vulnerability
has_delegatecall_loop,0,0.0,vulnerability
has_uninitialized_state,21,0.0,vulnerability
has_uninitialized_storage,27,0.0,vulnerability
has_uninitialized_local,12,0.0,vulnerability
has_tx_origin,13,0.0,vulnerability
has_inline_assembly,18,0.0,vulnerability
has_locked_ether,9,0.0,vulnerability
has_msg_value_loop,0,0.0,vulnerability
has_shadowing_state,39,0.0,vulnerability
has_shadowing_builtin,3,0.0,vulnerability
has_shadowing_abstract,0,0.0,vulnerability
has_unused_state_vars,33,0.0,vulnerability
has_unused_return_values,3,0.0,vulnerability
has_incorrect_solc_version,460,0.0,vulnerability
has_floating_pragma,0,0.0,vulnerability
has_outdated_compiler,0,0.0,vulnerability
high_severity_count,423,1.0777934936350777,severity
medium_severity_count,374,1.2814710042432815,severity
low_severity_count,707,14.728429985855728,severity
num_functions,362,3.123055162659123,other
num_external_calls,277,1.577086280056577,other
num_state_vars,308,1.7637906647807637,other
num_modifiers,48,0.09335219236209336,other
max_cyclomatic_complexity,361,1.9717114568599716,other
num_low_level_calls,103,0.19943422913719944,other
lines_of_code,269,34.23338048090523,other
num_contracts_in_file,707,1.2574257425742574,other
num_dependencies,268,0.37906647807637905,other
avg_function_complexity,268,0.6592478220650636,other
num_functions_high_complexity,12,0.02545968882602546,other
num_comments,269,8.680339462517681,other
comment_to_code_ratio,269,0.09968092535785004,other
num_payable_functions,124,0.413012729844413,other
num_library_calls,7,0.031117397454031116,other
inheritance_depth,36,0.08203677510608204,other
num_unused_functions,0,0.0,other
high_confidence_detectors,460,7.5954738330975955,other
medium_confidence_detectors,388,2.611032531824611,other
low_confidence_detectors,0,0.0,other
security_detectors_triggered,368,1.4752475247524752,other
optimization_detectors_triggered,97,0.26449787835926447,other
total_detector_hits,461,4.114568599717114,other
unique_vulnerability_types,461,1.925035360678925,other
detectors_per_function,0,0.0,other
detectors_per_loc,0,0.0,other
risk_score_simple,461,19.087694483734087,other
risk_score_weighted,460,56.659748052475244,other
is_high_risk,288,0.0,other
contract_complexity_category,707,0.0,other
cfg_num_nodes,580,24.30834512022631,graph
cfg_num_edges,580,21.562942008486562,graph
cfg_num_cycles,96,0.2347949080622348,graph
cfg_max_depth,580,5.089108910891089,graph
cfg_avg_branching,580,0.6380889827484832,graph
cfg_has_complex_loops,28,0.0,graph
cfg_num_exit_points,233,2.0537482319660536,graph
cfg_cyclomatic_total,580,9.438472418670438,graph
cg_num_nodes,592,4.357850070721358,graph
cg_num_edges,421,4.335219236209335,graph
cg_max_call_depth,413,0.7906647807637907,graph
cg_num_external_calls,478,2.1753889674681752,graph
cg_external_call_ratio,478,0.3677632858207139,graph
cg_has_cyclic_calls,32,0.0,graph
cg_num_public_entry_points,588,3.4794908062234793,graph
cg_num_internal_functions,306,0.8783592644978784,graph
cg_avg_calls_per_function,421,0.5787919662546985,graph
cg_num_leaf_functions,589,3.6096181046676095,graph
dfg_num_state_vars,511,2.5346534653465347,graph
dfg_num_tainted_flows,484,1.5473833097595473,graph
dfg_has_cross_function_flow,514,0.0,graph
dfg_num_sensitive_sinks,373,1.4314002828854313,graph
dfg_num_external_sources,523,4.3224893917963225,graph
dfg_taint_to_sink_ratio,312,0.45497516588393533,graph
dfg_num_unvalidated_inputs,523,2.2644978783592644,graph
