id,high_severity_count,medium_severity_count,low_severity_count,num_functions,num_external_calls,num_state_vars,num_modifiers,max_cyclomatic_complexity,num_low_level_calls,lines_of_code,num_contracts_in_file,num_dependencies,avg_function_complexity,num_functions_high_complexity,num_comments,comment_to_code_ratio,num_payable_functions,num_library_calls,inheritance_depth,num_unused_functions,high_confidence_detectors,medium_confidence_detectors,low_confidence_detectors,security_detectors_triggered,optimization_detectors_triggered,total_detector_hits,unique_vulnerability_types,detectors_per_function,detectors_per_loc,risk_score_simple,risk_score_weighted,complexity_level,cfg_num_nodes,cfg_num_edges,cfg_num_cycles,cfg_max_depth,cfg_avg_branching,cfg_num_exit_points,cfg_cyclomatic_total,cg_num_nodes,cg_num_edges,cg_max_call_depth,cg_num_external_calls,cg_external_call_ratio,cg_num_public_entry_points,cg_num_internal_functions,cg_avg_calls_per_function,cg_num_leaf_functions,dfg_num_state_vars,dfg_num_tainted_flows,dfg_num_sensitive_sinks,dfg_num_external_sources,dfg_taint_to_sink_ratio,dfg_num_unvalidated_inputs,cei_violations,cei_safe_functions,cei_pattern_score,functions_with_reentrancy_guard,state_before_call_count,state_after_call_count,unchecked_calls_in_critical_context,ground_truth_vulnerable
376,2,0,16,5,4,4,0,5,1,65,2,1,2.2,0,6,0.09230769230769231,3,0,0,0,17,3,0,2,0,8,3,0.0,0.0,36.0,85.95,0,17,15,0,4,0.8823529411764706,0,11,5,0,0,4,1.0,4,1,0.0,5,4,2,4,2,0.5,2,0,0,1.0,0,0,0,0,True
394,1,1,4,2,2,1,0,3,1,23,1,1,2.0,0,7,0.30434782608695654,0,0,0,0,5,1,0,2,0,5,3,0.0,0.0,19.0,21.659999999999997,0,11,10,0,5,0.9090909090909091,0,4,2,1,1,2,0.6666666666666666,2,0,0.5,2,1,1,2,2,0.5,1,0,0,1.0,0,0,0,0,True
354,1,0,3,2,0,1,0,1,0,23,1,1,1.0,0,12,0.5217391304347826,0,0,0,0,2,2,0,1,0,3,2,0.0,0.0,13.0,14.733333333333333,0,7,5,0,5,0.7142857142857143,1,2,2,1,0,0,0.0,0,2,0.5,2,1,0,0,1,0.0,1,0,0,1.0,0,0,0,0,True
930,23,0,149,6,7,6,1,3,3,467,3,1,2.0,0,116,0.24839400428265523,0,0,0,0,94,79,0,23,21,9,4,0.0,0.0,379.0,6287.188888888889,1,33,30,0,6,0.9090909090909091,0,12,6,6,1,7,0.5384615384615384,6,0,1.0,6,6,1,7,1,0.14285714285714285,1,4,0,0.0,0,0,4,0,True
906,10,0,194,53,53,49,0,5,0,365,1,1,1.5660377358490567,0,8,0.021917808219178082,22,0,0,0,117,98,0,10,20,9,3,0.0,0.0,294.0,6062.933333333334,2,234,196,0,10,0.8376068376068376,5,83,53,49,1,53,0.5196078431372549,52,1,0.9245283018867925,20,49,28,31,37,0.9032258064516129,30,20,0,0.0,0,0,20,0,True
673,17,35,289,8,4,0,0,1,0,321,5,1,1.0,0,81,0.2523364485981308,0,0,0,0,85,258,0,52,0,9,3,0.0,0.0,634.0,18710.044444444444,0,24,16,0,2,0.6666666666666666,0,8,8,9,1,4,0.3076923076923077,8,0,1.125,2,0,4,4,19,1.0,8,0,0,1.0,0,0,0,0,True
650,8,16,80,21,4,25,1,9,0,177,2,1,2.5238095238095237,0,15,0.0847457627118644,4,0,1,0,49,58,0,24,0,11,5,0.0,0.0,240.0,1954.9090909090908,2,131,126,0,15,0.9618320610687023,6,53,21,14,1,4,0.2222222222222222,19,2,0.6666666666666666,16,25,10,4,13,2.5,12,0,0,1.0,0,0,0,0,True
330,0,0,4,5,3,2,0,1,0,35,1,1,1.0,0,11,0.3142857142857143,1,0,0,0,2,2,0,0,1,3,2,0.0,0.0,4.0,4.533333333333333,0,14,9,0,3,0.6428571428571429,0,5,5,4,1,3,0.42857142857142855,5,0,0.8,5,2,2,3,2,0.6666666666666666,2,0,0,1.0,0,0,0,0,True
817,0,11,187,6,1,3,1,1,0,499,5,1,1.0,0,30,0.06012024048096192,0,0,0,0,139,61,0,11,1,11,3,0.0,0.0,242.0,3997.4,0,21,15,0,4,0.7142857142857143,1,6,6,4,1,1,0.2,6,0,0.6666666666666666,5,3,3,1,5,3.0,4,0,0,1.0,0,0,0,0,True
391,2,0,20,7,4,4,0,5,1,78,2,1,2.142857142857143,0,6,0.07692307692307693,3,0,0,0,21,2,0,2,0,6,3,0.0,0.0,40.0,149.33333333333334,0,26,23,0,4,0.8846153846153846,0,15,7,3,1,4,0.5714285714285714,6,1,0.42857142857142855,5,4,3,4,3,0.75,3,0,0,1.0,0,0,0,0,True
399,2,0,15,5,4,3,0,5,1,63,2,1,2.2,0,6,0.09523809523809523,3,0,0,0,17,2,0,2,0,7,3,0.0,0.0,35.0,92.0,0,16,14,0,4,0.875,0,11,5,0,0,4,1.0,4,1,0.0,5,3,2,4,2,0.5,2,0,0,1.0,0,0,0,0,True
926,26,1,174,15,9,9,0,3,1,526,7,1,1.8,0,88,0.16730038022813687,0,0,0,0,124,80,0,27,27,14,5,0.0,0.0,439.0,5644.285714285715,2,47,44,0,4,0.9361702127659575,0,21,15,11,1,9,0.45,14,1,0.7333333333333333,11,9,1,9,11,0.1111111111111111,6,0,0,1.0,0,0,0,0,True
886,10,0,204,46,49,37,0,3,0,697,5,1,1.3043478260869565,0,292,0.41893830703012913,16,8,1,0,117,107,0,10,20,9,4,0.0,0.0,304.0,6481.955555555556,3,187,148,0,8,0.7914438502673797,8,60,46,44,2,49,0.5268817204301075,40,6,0.9565217391304348,15,37,24,30,42,0.8,28,0,0,1.0,0,0,0,0,True
910,12,0,79,26,22,25,0,3,4,286,2,1,2.0,0,85,0.2972027972027972,0,0,0,0,60,33,0,12,13,9,4,0.0,0.0,199.0,1837.4333333333334,2,150,136,0,8,0.9066666666666666,6,52,26,31,2,22,0.41509433962264153,24,2,1.1923076923076923,9,25,9,22,21,0.4090909090909091,10,17,0,0.0,0,0,17,0,True
944,22,0,136,12,9,10,0,3,2,389,4,1,1.8333333333333333,0,20,0.05141388174807198,0,0,1,0,86,74,0,22,21,12,5,0.0,0.0,356.0,4088.0666666666666,1,52,45,0,5,0.8653846153846154,3,22,12,8,1,9,0.5294117647058824,11,1,0.6666666666666666,8,10,1,9,3,0.1111111111111111,1,0,0,1.0,0,0,0,0,True
898,14,0,284,23,23,10,0,3,0,521,5,1,1.608695652173913,0,49,0.09404990403071017,8,0,0,0,155,159,0,14,28,12,3,0.0,0.0,424.0,9409.266666666666,2,53,43,0,4,0.8113207547169812,0,31,23,16,1,23,0.5897435897435898,22,1,0.6956521739130435,17,10,8,9,18,0.8888888888888888,13,2,0,0.0,0,0,2,0,True
560,2,9,80,26,34,9,3,15,0,527,3,1,3.6153846153846154,2,206,0.3908918406072106,2,0,0,0,62,32,0,11,1,17,6,0.0,0.0,145.0,719.8823529411765,3,236,227,7,19,0.961864406779661,27,94,26,30,5,34,0.53125,19,7,1.1538461538461537,14,9,13,4,43,3.25,25,0,0,1.0,0,0,0,0,True
414,3,2,3,3,2,3,0,1,0,23,1,1,1.0,0,8,0.34782608695652173,0,0,0,0,6,4,0,5,1,6,5,0.0,0.0,43.0,63.06666666666666,0,8,5,0,3,0.625,0,3,3,3,1,2,0.4,2,1,1.0,3,3,0,2,0,0.0,0,0,0,1.0,0,0,0,0,True
907,10,0,187,16,12,11,0,3,0,379,4,1,1.25,0,63,0.1662269129287599,5,0,0,0,119,92,0,10,20,8,3,0.0,0.0,287.0,6579.475,2,45,36,0,4,0.8,0,15,16,10,1,12,0.5454545454545454,15,1,0.625,11,11,5,8,15,0.625,10,0,0,1.0,0,0,0,0,True
398,2,0,19,5,4,3,0,5,1,71,2,1,2.2,0,6,0.08450704225352113,3,0,0,0,19,4,0,2,0,8,4,0.0,0.0,39.0,106.275,0,21,19,0,6,0.9047619047619048,0,11,5,1,1,4,0.8,4,1,0.2,4,3,3,4,3,0.75,3,0,0,1.0,0,0,0,0,True
321,2,0,6,8,1,5,0,9,0,85,1,1,2.25,0,25,0.29411764705882354,2,0,0,0,7,2,0,2,1,8,4,0.0,0.0,26.0,27.3,0,40,36,0,9,0.9,1,18,8,13,3,1,0.07142857142857142,6,2,1.625,6,5,1,1,2,1.0,2,0,0,1.0,0,0,0,0,True
952,28,0,217,46,34,32,0,5,2,795,13,1,1.891304347826087,0,27,0.033962264150943396,0,6,1,0,117,130,0,28,33,14,6,0.0,0.0,497.0,7384.0,3,221,195,1,9,0.8823529411764706,12,87,46,53,2,34,0.39080459770114945,37,9,1.1521739130434783,22,32,12,22,72,0.5454545454545454,22,0,0,1.0,0,0,0,0,True
332,0,0,4,4,2,2,0,1,0,32,1,1,1.0,0,11,0.34375,1,0,0,0,2,2,0,0,1,3,2,0.0,0.0,4.0,4.533333333333333,0,12,8,0,3,0.6666666666666666,0,4,4,4,1,2,0.3333333333333333,4,0,1.0,4,2,2,2,2,1.0,2,0,0,1.0,0,0,0,0,True
695,9,21,171,32,19,3,1,17,0,252,1,1,1.65625,1,39,0.15476190476190477,5,0,0,0,80,121,0,30,2,12,5,0.0,0.0,366.0,5023.35,3,152,130,2,13,0.8552631578947368,1,53,32,37,1,19,0.3392857142857143,32,0,1.15625,7,3,22,19,78,1.1578947368421053,29,1,0,0.0,0,0,1,0,True
397,2,0,15,6,5,4,1,5,1,70,2,1,2.0,0,6,0.08571428571428572,2,0,0,0,17,2,0,2,0,7,3,0.0,0.0,35.0,92.0,0,20,17,0,4,0.85,0,12,6,1,1,5,0.8333333333333334,5,1,0.16666666666666666,6,4,2,4,2,0.5,2,0,0,1.0,0,0,0,0,True
648,12,26,129,13,3,5,0,3,0,303,5,1,1.9230769230769231,0,49,0.1617161716171617,3,0,0,0,77,92,0,38,0,14,5,0.0,0.0,379.0,3827.9,1,39,38,0,6,0.9743589743589743,0,19,13,6,1,3,0.3333333333333333,12,1,0.46153846153846156,12,5,3,3,13,1.0,8,0,0,1.0,0,0,0,0,True
924,28,0,193,12,9,8,0,3,3,471,3,1,1.5,0,48,0.10191082802547771,0,0,0,0,115,113,0,28,31,12,5,0.0,0.0,473.0,7650.775000000001,1,36,33,0,6,0.9166666666666666,0,12,12,8,1,9,0.5294117647058824,12,0,0.6666666666666666,9,8,2,9,12,0.2222222222222222,7,0,0,1.0,0,0,0,0,True
396,2,0,19,5,4,3,0,5,1,71,2,1,2.2,0,6,0.08450704225352113,3,0,0,0,19,4,0,2,0,8,4,0.0,0.0,39.0,106.275,0,21,19,0,6,0.9047619047619048,0,11,5,1,1,4,0.8,4,1,0.2,4,3,3,4,3,0.75,3,0,0,1.0,0,0,0,0,True
351,0,0,3,1,1,2,0,3,0,24,1,1,3.0,0,11,0.4583333333333333,1,0,0,0,2,1,0,0,1,2,2,0.0,0.0,3.0,4.05,0,7,7,0,5,1.0,0,3,1,1,1,1,0.5,1,0,1.0,1,2,0,1,0,0.0,0,0,0,1.0,0,0,0,0,True
613,2,2,39,9,4,7,0,6,0,117,1,1,3.0,0,21,0.1794871794871795,0,0,0,0,32,14,0,4,0,11,4,0.0,0.0,69.0,262.2,1,64,59,3,12,0.921875,8,27,9,7,2,4,0.36363636363636365,6,3,0.7777777777777778,7,7,4,0,21,0.0,7,0,0,1.0,0,0,0,0,True
435,3,2,14,17,7,9,4,5,2,253,2,1,1.2941176470588236,0,65,0.25691699604743085,3,0,0,0,9,11,0,5,1,12,6,0.0,0.0,54.0,75.14999999999999,1,71,56,0,11,0.7887323943661971,7,22,17,24,2,7,0.22580645161290322,14,3,1.411764705882353,14,9,7,7,11,1.0,8,0,0,1.0,0,0,0,0,True
684,15,31,244,35,16,3,3,1,0,252,2,1,1.0,0,3,0.011904761904761904,0,0,0,0,71,219,0,46,0,6,3,0.0,0.0,549.0,20523.45,2,100,65,0,5,0.65,5,35,35,36,2,16,0.3076923076923077,30,5,1.0285714285714285,11,3,18,16,52,1.125,25,0,0,1.0,0,0,0,0,True
423,1,2,20,3,0,2,1,3,0,91,3,1,1.6666666666666667,0,8,0.08791208791208792,0,0,0,0,19,4,0,3,0,9,4,0.0,0.0,40.0,96.88888888888889,0,8,6,0,2,0.75,0,5,3,1,1,0,0.0,2,1,0.3333333333333333,3,2,1,0,1,0.0,1,0,0,1.0,0,0,0,0,True
884,14,0,294,57,53,44,3,3,0,498,2,1,1.3859649122807018,0,3,0.006024096385542169,21,0,0,0,151,171,0,14,28,7,3,0.0,0.0,434.0,16783.4,2,218,172,0,9,0.7889908256880734,5,79,57,52,2,53,0.5047619047619047,51,6,0.9122807017543859,24,44,23,31,25,0.7419354838709677,25,20,0,0.0,0,0,20,0,True
