contract_name,file_path,has_reentrancy,has_access_control_issues,has_timestamp_dependency,has_unchecked_call,high_severity_count,medium_severity_count,low_severity_count,num_functions,num_external_calls,num_state_vars,num_modifiers,max_cyclomatic_complexity,num_low_level_calls
Synari,/home/motafeq/projects/chainguardian-ai/blockchain/contracts/collected/Synari_0x1bd1bc78,True,False,False,True,1,2,27,24,11,19,0,25,2
DSToken,/home/motafeq/projects/chainguardian-ai/blockchain/contracts/collected/DSToken_0x9f8F72aA.sol,True,False,False,False,0,2,24,14,0,3,0,3,0
AToken,/home/motafeq/projects/chainguardian-ai/blockchain/contracts/collected/AToken_0x6ee0f7bb.sol,True,True,True,True,9,26,429,23,30,10,2,7,0
SparkStarterToken,/home/motafeq/projects/chainguardian-ai/blockchain/contracts/collected/SparkStarterToken_0x7c19ccad.sol,True,True,True,True,7,10,55,17,32,32,0,17,5
INV,/home/motafeq/projects/chainguardian-ai/blockchain/contracts/collected/INV_0x41d5d794,False,False,True,False,0,1,19,30,8,17,1,14,0
FRAXShares,/home/motafeq/projects/chainguardian-ai/blockchain/contracts/collected/FRAXShares_0x3432b6a6,False,False,False,True,1,6,73,0,0,0,0,0,0
IndexToken,/home/motafeq/projects/chainguardian-ai/blockchain/contracts/collected/IndexToken_0x0954906d.sol,False,False,True,False,0,1,5,20,3,12,0,14,0
OriginToken,/home/motafeq/projects/chainguardian-ai/blockchain/contracts/collected/OriginToken_0x8207c1ff.sol,False,False,True,True,0,0,53,7,3,1,0,1,1
AdminUpgradeabilityProxy,/home/motafeq/projects/chainguardian-ai/blockchain/contracts/collected/AdminUpgradeabilityProxy_0x2e236496.sol,False,False,False,True,0,0,19,2,0,0,0,1,0
BCUG,/home/motafeq/projects/chainguardian-ai/blockchain/contracts/collected/BCUG_0x14da7b27.sol,False,True,False,False,3,0,28,12,4,0,0,4,0
Cash,/home/motafeq/projects/chainguardian-ai/blockchain/contracts/collected/Cash_0x368b3a58.sol,False,False,False,True,0,0,32,4,0,0,0,1,0
UwU,/home/motafeq/projects/chainguardian-ai/blockchain/contracts/collected/UwU_0x55C08ca5.sol,False,False,True,False,0,4,29,11,11,7,2,1,0
GeyserToken,/home/motafeq/projects/chainguardian-ai/blockchain/contracts/collected/GeyserToken_0xbEa98c05.sol,False,False,False,True,1,0,33,2,0,2,0,1,0
Nsure,/home/motafeq/projects/chainguardian-ai/blockchain/contracts/collected/Nsure_0x20945ca1.sol,False,False,True,True,0,1,49,7,5,4,1,3,0
SuterusuToken,/home/motafeq/projects/chainguardian-ai/blockchain/contracts/collected/SuterusuToken_0xaa2ce7ae.sol,False,False,False,False,1,0,12,4,0,4,0,1,0
Uni,/home/motafeq/projects/chainguardian-ai/blockchain/contracts/collected/Uni_0x1f9840a8.sol,False,False,True,False,0,1,15,24,10,17,0,14,0
TOKEN,/home/motafeq/projects/chainguardian-ai/blockchain/contracts/collected/TOKEN_0x52dd39e5.sol,True,True,False,False,4,2,29,25,25,28,1,19,0
