id,high_severity_count,medium_severity_count,low_severity_count,num_functions,num_external_calls,num_state_vars,num_modifiers,max_cyclomatic_complexity,num_low_level_calls,lines_of_code,num_contracts_in_file,num_dependencies,avg_function_complexity,num_functions_high_complexity,num_comments,comment_to_code_ratio,num_payable_functions,num_library_calls,inheritance_depth,num_unused_functions,high_confidence_detectors,medium_confidence_detectors,low_confidence_detectors,security_detectors_triggered,optimization_detectors_triggered,total_detector_hits,unique_vulnerability_types,detectors_per_function,detectors_per_loc,risk_score_simple,risk_score_weighted,complexity_level,cfg_num_nodes,cfg_num_edges,cfg_num_cycles,cfg_max_depth,cfg_avg_branching,cfg_num_exit_points,cfg_cyclomatic_total,cg_num_nodes,cg_num_edges,cg_max_call_depth,cg_num_external_calls,cg_external_call_ratio,cg_num_public_entry_points,cg_num_internal_functions,cg_avg_calls_per_function,cg_num_leaf_functions,dfg_num_state_vars,dfg_num_tainted_flows,dfg_num_sensitive_sinks,dfg_num_external_sources,dfg_taint_to_sink_ratio,dfg_num_unvalidated_inputs,cei_violations,cei_safe_functions,cei_pattern_score,functions_with_reentrancy_guard,state_before_call_count,state_after_call_count,unchecked_calls_in_critical_context,cei_reentrancy_risk,state_external_danger,unchecked_lowlevel_risk,complexity_size_product,functions_calls_interaction,high_severity_density,guard_effectiveness,external_calls_ratio,low_level_calls_ratio,complexity_per_loc,avg_function_size,detector_density,high_severity_ratio,cei_violation_rate,state_after_call_ratio,reentrancy_risk_score,access_control_risk,code_quality_score,contract_maturity,has_critical_pattern,cei_violations^2,cei_violations lines_of_code,cei_violations num_functions,cei_violations max_cyclomatic_complexity,cei_violations total_detector_hits,lines_of_code^2,lines_of_code num_functions,lines_of_code max_cyclomatic_complexity,lines_of_code total_detector_hits,num_functions^2,num_functions max_cyclomatic_complexity,num_functions total_detector_hits,max_cyclomatic_complexity^2,max_cyclomatic_complexity total_detector_hits,total_detector_hits^2,ground_truth_vulnerable,contract_name,data_source
1,0,0,7,4,0,1,0,3,0,59,3,1,1.5,0,35,0.5932203389830508,0,0,2,0,4,3,0,0,0,3,1,0.0,0.0,7.0,14.233333333333334,0,15,12,0,4,0.8,1,6,4,7,1,0,0.0,3,1,1.75,5,1,2,0,2,0.0,2,0,0,1.0,0,0,0,0,0,0,0,177,0,0,0.0,0.0,0.0,0.05,11.8,0.05,0.0,0.0,0.0,0.0,0,10.782203389830508,7.5,0,0.0,0.0,0.0,0.0,0.0,3481.0,236.0,177.0,177.0,16.0,12.0,12.0,9.0,9.0,9.0,False,Ownable2Step,openzeppelin
2,0,0,5,6,0,1,1,3,0,87,2,1,2.0,0,47,0.5402298850574713,0,0,1,0,3,2,0,0,0,2,1,0.0,0.0,5.0,11.0,0,24,21,0,4,0.875,1,12,6,10,1,0,0.0,3,3,1.6666666666666667,6,1,1,0,3,0.0,3,0,0,1.0,0,0,0,0,0,0,0,261,0,0,0.0,0.0,0.0,0.03409090909090909,12.428571428571429,0.022727272727272728,0.0,0.0,0.0,0.0,0,12.252298850574713,6.7,0,0.0,0.0,0.0,0.0,0.0,7569.0,522.0,261.0,174.0,36.0,18.0,12.0,9.0,6.0,4.0,False,Ownable,openzeppelin
3,0,0,10,12,0,2,1,3,0,189,5,1,1.5,0,121,0.6402116402116402,0,0,2,0,7,3,0,0,0,3,1,0.0,0.0,10.0,30.333333333333336,1,42,32,0,4,0.7619047619047619,7,18,12,20,2,0,0.0,6,6,1.6666666666666667,8,2,3,0,19,0.0,11,0,0,1.0,0,0,0,0,0,0,0,567,0,0,0.0,0.0,0.0,0.015789473684210527,14.538461538461538,0.015789473684210527,0.0,0.0,0.0,0.0,0,13.252116402116402,16.1,0,0.0,0.0,0.0,0.0,0.0,35721.0,2268.0,567.0,567.0,144.0,36.0,36.0,9.0,9.0,9.0,False,AccessControl,openzeppelin
4,0,0,2,5,0,0,0,1,0,87,1,1,1.0,0,74,0.8505747126436781,0,0,0,0,2,0,0,0,0,1,1,0.0,0.0,2.0,4.0,0,0,0,0,0,0.0,0,0,5,0,0,0,0.0,5,0,0.0,5,0,0,0,9,0.0,5,0,0,1.0,0,0,0,0,0,0,0,87,0,0,0.0,0.0,0.0,0.011363636363636364,14.5,0.011363636363636364,0.0,0.0,0.0,0.0,0,13.45574712643678,7.4,0,0.0,0.0,0.0,0.0,0.0,7569.0,435.0,87.0,87.0,25.0,5.0,5.0,1.0,1.0,1.0,False,IAccessControl,openzeppelin
5,0,0,30,7,0,1,3,5,0,108,6,1,1.8571428571428568,0,36,0.3333333333333333,0,0,0,0,28,2,0,0,0,4,2,0.0,0.0,30.0,220.5,0,25,21,0,6,0.84,3,13,7,7,0,0,0.0,0,7,1.0,4,1,0,0,0,0.0,0,0,0,1.0,0,0,0,0,0,0,0,540,0,0,0.0,0.0,0.0,0.045871559633027525,13.5,0.03669724770642202,0.0,0.0,0.0,0.0,0,14.083333333333332,3.6,0,0.0,0.0,0.0,0.0,0.0,11664.0,756.0,540.0,432.0,49.0,35.0,28.0,25.0,20.0,16.0,False,MultipleInheritanceInitializableMocks,openzeppelin
6,0,2,33,3,4,3,0,6,0,42,7,1,2.6666666666666665,0,10,0.238095238095238,0,1,1,0,20,15,0,2,0,5,3,0.0,0.0,43.0,262.3,0,17,16,0,9,0.9411764705882352,2,8,3,2,1,4,0.6666666666666666,2,1,0.6666666666666666,3,3,2,1,7,2.0,2,0,0,1.0,0,0,0,0,0,0,0,252,12,0,0.0,1.0,0.0,0.13953488372093023,10.5,0.11627906976744186,0.0,0.0,0.0,0.0,0,7.080952380952379,6.0,0,0.0,0.0,0.0,0.0,0.0,1764.0,126.0,252.0,210.0,9.0,18.0,15.0,36.0,30.0,25.0,False,ERC3156FlashBorrowerMock,openzeppelin
7,0,0,41,1,4,0,0,7,0,19,13,1,7.0,0,1,0.0526315789473684,0,0,0,0,23,18,0,0,0,4,2,0.0,0.0,41.0,364.9,0,15,16,2,11,1.0666666666666669,0,7,1,3,1,4,0.5714285714285714,1,0,3.0,3,0,1,2,3,0.5,1,0,0,1.0,0,0,0,0,0,0,0,133,4,0,0.0,2.0,0.0,0.35,9.5,0.2,0.0,0.0,0.0,0.0,0,5.1763157894736835,0.1,0,0.0,0.0,0.0,0.0,0.0,361.0,19.0,133.0,76.0,1.0,7.0,4.0,49.0,28.0,16.0,False,MulticallHelper,openzeppelin
9,0,0,4,3,0,0,0,1,0,25,3,1,1.0,0,1,0.04,0,0,1,0,3,1,0,0,0,2,1,0.0,0.0,4.0,7.4,0,6,3,0,1,0.5,0,3,3,3,1,0,0.0,3,0,1.0,2,0,0,0,2,0.0,1,0,0,1.0,0,0,0,0,0,0,0,25,0,0,0.0,0.0,0.0,0.038461538461538464,6.25,0.07692307692307693,0.0,0.0,0.0,0.0,0,5.3500000000000005,2.1,0,0.0,0.0,0.0,0.0,0.0,625.0,75.0,25.0,50.0,9.0,3.0,6.0,1.0,2.0,4.0,False,ContextMock,openzeppelin
11,0,0,32,9,10,0,0,2,0,51,3,1,1.1111111111111112,0,2,0.0392156862745098,0,8,0,0,5,27,0,0,0,3,2,0.0,0.0,32.0,254.9333333333333,0,20,11,0,2,0.55,10,10,9,2,0,10,0.8333333333333334,0,9,0.2222222222222222,10,0,9,4,26,2.25,9,0,0,1.0,0,0,0,0,0,0,0,102,90,0,0.0,1.0,0.0,0.038461538461538464,5.1,0.057692307692307696,0.0,0.0,0.0,0.0,0,5.292156862745099,24.2,0,0.0,0.0,0.0,0.0,0.0,2601.0,459.0,102.0,153.0,81.0,18.0,27.0,4.0,6.0,9.0,False,MerkleProofCustomHashMock,openzeppelin
12,0,0,31,4,2,0,0,3,0,27,8,1,1.5,0,2,0.074074074074074,0,1,2,0,20,11,0,0,0,6,3,0.0,0.0,31.0,143.11666666666667,0,13,10,0,4,0.7692307692307693,0,6,4,1,1,2,0.6666666666666666,4,0,0.25,4,0,1,0,2,0.0,1,1,0,0.0,0,0,1,0,0,2,0,81,8,0,0.0,0.4,0.0,0.10714285714285714,5.4,0.21428571428571427,0.0,0.2,0.3333333333333333,0.7,0,5.59074074074074,7.2,0,1.0,27.0,4.0,3.0,6.0,729.0,108.0,81.0,162.0,16.0,12.0,24.0,9.0,18.0,36.0,False,AccessManagedTarget,openzeppelin
