feature,importance
dfg_num_state_vars,0.22441486
num_state_vars,0.18370724
security_detectors_triggered,0.067876555
has_unchecked_call,0.040836543
inheritance_depth,0.03701734
has_floating_pragma,0.032889277
dfg_has_cross_function_flow,0.021154711
has_access_control_issues,0.018375838
medium_severity_count,0.017999506
has_unused_return_values,0.017672123
has_reentrancy,0.017233681
num_library_calls,0.01689479
high_severity_count,0.016611885
cg_num_public_entry_points,0.0144554665
dfg_num_sensitive_sinks,0.012299945
has_inline_assembly,0.011829066
has_reentrancy_benign,0.011347985
has_reentrancy_unlimited,0.011226761
has_timestamp_dependency,0.01016708
cg_avg_calls_per_function,0.009954916
