feature,importance
has_unchecked_call,0.27565184
has_floating_pragma,0.13916105
contract_id,0.08514273
has_inline_assembly,0.066095516
optimization_detectors_triggered,0.04403136
has_reentrancy,0.042644657
security_detectors_triggered,0.0352567
cfg_cyclomatic_total,0.032771926
cfg_num_nodes,0.029862443
num_external_calls,0.025275601
num_contracts_in_file,0.021262616
medium_confidence_detectors,0.018613039
risk_score_weighted,0.016133541
has_locked_ether,0.015985996
cfg_num_edges,0.015748696
inheritance_depth,0.014886336
num_state_vars,0.013864498
low_severity_count,0.013481464
cg_num_public_entry_points,0.012142602
high_severity_count,0.011952883
cg_external_call_ratio,0.0066407123
total_detector_hits,0.006323773
lines_of_code,0.0059847767
dfg_num_state_vars,0.0059790313
high_confidence_detectors,0.0059469426
num_comments,0.0057731597
risk_score_simple,0.0046234373
medium_severity_count,0.0042949016
dfg_num_unvalidated_inputs,0.0039586658
cg_num_internal_functions,0.0038577698
dfg_num_tainted_flows,0.0028001089
cg_avg_calls_per_function,0.0027767082
dfg_num_sensitive_sinks,0.0027501634
num_functions,0.0020880885
dfg_num_external_sources,0.0017003494
comment_to_code_ratio,0.0010386903
unique_vulnerability_types,0.0007472659
avg_function_complexity,0.0007440204
has_timestamp_dependency,0.00065935124
cfg_avg_branching,0.0005430358
cg_num_external_calls,0.00029637112
cg_num_leaf_functions,0.0002373877
cfg_num_exit_points,0.00022827616
cg_num_edges,4.1565523e-05
has_reentrancy_events,0.0
has_reentrancy_benign,0.0
has_reentrancy_unlimited,0.0
has_access_control_issues,0.0
has_unchecked_transfer,0.0
has_controlled_delegatecall,0.0
has_shadowing_builtin,0.0
has_shadowing_state,0.0
has_uninitialized_local,0.0
has_tx_origin,0.0
has_uninitialized_storage,0.0
has_uninitialized_state,0.0
is_high_risk,0.0
contract_complexity_category,0.0
num_low_level_calls,0.0
has_unused_state_vars,0.0
has_unused_return_values,0.0
num_payable_functions,0.0
num_library_calls,0.0
max_cyclomatic_complexity,0.0
num_modifiers,0.0
num_functions_high_complexity,0.0
complexity_level,0.0
cg_max_call_depth,0.0
cg_has_cyclic_calls,0.0
cfg_has_complex_loops,0.0
cfg_max_depth,0.0
cfg_num_cycles,0.0
cg_num_nodes,0.0
dfg_has_cross_function_flow,0.0
dfg_taint_to_sink_ratio,0.0
cei_violations,0.0
cei_safe_functions,0.0
cei_pattern_score,0.0
has_reentrancy_guard,0.0
functions_with_reentrancy_guard,0.0
state_before_call_count,0.0
state_after_call_count,0.0
