feature,importance
num_state_vars,0.12344926
dfg_num_state_vars,0.090876065
cg_num_internal_functions,0.08317285
dfg_num_sensitive_sinks,0.07463297
num_low_level_calls,0.053896748
num_library_calls,0.049297187
inheritance_depth,0.048948705
num_contracts_in_file,0.03624146
cg_num_public_entry_points,0.03343334
comment_to_code_ratio,0.02996943
cfg_num_edges,0.027567951
cg_external_call_ratio,0.025476322
cg_has_cyclic_calls,0.025314849
cg_num_edges,0.025075339
cg_avg_calls_per_function,0.019163562
dfg_num_external_sources,0.01747388
num_comments,0.0149614895
cfg_num_nodes,0.01441368
cg_num_external_calls,0.0138293775
num_external_calls,0.013491671
dfg_has_cross_function_flow,0.012877391
cg_max_call_depth,0.012631483
lines_of_code,0.012005302
cg_num_leaf_functions,0.01152834
cfg_max_depth,0.01152126
num_functions,0.011485638
max_cyclomatic_complexity,0.011363736
dfg_num_tainted_flows,0.010944193
cg_num_nodes,0.009745902
cfg_num_cycles,0.009679101
num_payable_functions,0.009222379
cfg_cyclomatic_total,0.008603573
cfg_num_exit_points,0.008332845
dfg_num_unvalidated_inputs,0.007588369
avg_function_complexity,0.0075383047
complexity_level,0.0066885077
dfg_taint_to_sink_ratio,0.006543175
num_modifiers,0.0056700013
cfg_avg_branching,0.00534435
num_functions_high_complexity,0.0
num_dependencies,0.0
cfg_has_complex_loops,0.0
