feature,importance
cfg_max_depth,0.46793696594316847
unique_vulnerability_types,0.31716735071508506
has_inline_assembly,0.07173799258209755
medium_severity_count,0.046075487022037016
has_access_control_issues,0.022635221158026166
contract_complexity_category_encoded,0.014984252498725942
is_high_risk,0.01314952215224202
high_severity_count,0.012916838793128594
has_reentrancy,0.0074003324053203675
has_unused_state_vars,0.005816447241456597
num_library_calls,0.004167201136980613
has_unused_return_values,0.0033290476789169885
dfg_num_tainted_flows,0.002527156513565937
num_payable_functions,0.0021285012695856772
num_modifiers,0.001877783717655057
cg_num_external_calls,0.00174957989377638
dfg_num_state_vars,0.0010084236054228217
has_timestamp_dependency,0.000946647826489303
cfg_has_complex_loops,0.0008962128736921998
num_state_vars,0.0008367676432582247
cg_has_cyclic_calls,0.0002925618423676997
dfg_has_cross_function_flow,0.00019899901456999004
optimization_detectors_triggered,0.00014357464165763706
has_reentrancy_events,4.261280858102271e-05
dfg_taint_to_sink_ratio,1.542222679227223e-05
has_reentrancy_unlimited,7.5899215958749965e-06
num_external_calls,3.55492848264436e-06
cg_max_call_depth,2.893109529788126e-06
cfg_num_cycles,2.305357111634131e-06
dfg_num_sensitive_sinks,1.96567625953689e-06
has_locked_ether,7.572648683970452e-07
has_shadowing_state,3.0529041108417906e-08
has_controlled_delegatecall,8.511479689873803e-12
has_reentrancy_benign,0.0
has_unchecked_transfer,0.0
has_shadowing_abstract,0.0
has_shadowing_builtin,0.0
has_msg_value_loop,0.0
has_uninitialized_local,0.0
has_tx_origin,0.0
has_delegatecall_loop,0.0
has_uninitialized_state,0.0
has_uninitialized_storage,0.0
low_confidence_detectors,0.0
num_unused_functions,0.0
num_low_level_calls,0.0
num_functions_high_complexity,0.0
has_outdated_compiler,0.0
has_incorrect_solc_version,0.0
detectors_per_function,0.0
detectors_per_loc,0.0
