ml_weight,threshold,accuracy,precision,recall,tp,fp,fn,tn
0.5,0.55,0.76,0.0,0.0,0,0,6,19
0.55,0.6,0.76,0.0,0.0,0,0,6,19
0.5,0.65,0.76,0.0,0.0,0,0,6,19
0.5,0.6,0.76,0.0,0.0,0,0,6,19
0.6,0.65,0.76,0.0,0.0,0,0,6,19
0.55,0.65,0.76,0.0,0.0,0,0,6,19
0.5,0.4,0.48,0.3157894736842105,1.0,6,13,0,6
0.5,0.45,0.48,0.3157894736842105,1.0,6,13,0,6
0.5,0.5,0.48,0.3157894736842105,1.0,6,13,0,6
0.55,0.45,0.48,0.3157894736842105,1.0,6,13,0,6
0.55,0.55,0.48,0.3157894736842105,1.0,6,13,0,6
0.55,0.4,0.48,0.3157894736842105,1.0,6,13,0,6
0.55,0.5,0.48,0.3157894736842105,1.0,6,13,0,6
0.6,0.4,0.48,0.3157894736842105,1.0,6,13,0,6
0.6,0.5,0.48,0.3157894736842105,1.0,6,13,0,6
0.6,0.45,0.48,0.3157894736842105,1.0,6,13,0,6
0.6,0.55,0.48,0.3157894736842105,1.0,6,13,0,6
0.6,0.6,0.48,0.3157894736842105,1.0,6,13,0,6
0.65,0.4,0.48,0.3157894736842105,1.0,6,13,0,6
0.65,0.45,0.48,0.3157894736842105,1.0,6,13,0,6
0.65,0.5,0.48,0.3157894736842105,1.0,6,13,0,6
0.65,0.55,0.48,0.3157894736842105,1.0,6,13,0,6
0.65,0.6,0.48,0.3157894736842105,1.0,6,13,0,6
0.65,0.65,0.48,0.3157894736842105,1.0,6,13,0,6
0.7,0.4,0.48,0.3157894736842105,1.0,6,13,0,6
0.7,0.45,0.48,0.3157894736842105,1.0,6,13,0,6
0.7,0.5,0.48,0.3157894736842105,1.0,6,13,0,6
0.7,0.55,0.48,0.3157894736842105,1.0,6,13,0,6
0.7,0.6,0.48,0.3157894736842105,1.0,6,13,0,6
0.7,0.65,0.48,0.3157894736842105,1.0,6,13,0,6
0.75,0.4,0.48,0.3157894736842105,1.0,6,13,0,6
0.75,0.45,0.48,0.3157894736842105,1.0,6,13,0,6
0.75,0.5,0.48,0.3157894736842105,1.0,6,13,0,6
0.75,0.55,0.48,0.3157894736842105,1.0,6,13,0,6
0.75,0.6,0.48,0.3157894736842105,1.0,6,13,0,6
0.75,0.65,0.48,0.3157894736842105,1.0,6,13,0,6
