ml_weight,sem_weight,threshold,accuracy,precision,recall,f1,tp,fp,fn,tn
0.3,0.7,0.2,0.48,0.3157894736842105,1.0,0.4799999999999999,6,13,0,6
0.3,0.7,0.3,0.76,0.0,0.0,0.0,0,0,6,19
0.3,0.7,0.4,0.76,0.0,0.0,0.0,0,0,6,19
0.3,0.7,0.5,0.76,0.0,0.0,0.0,0,0,6,19
0.3,0.7,0.6,0.76,0.0,0.0,0.0,0,0,6,19
0.3,0.7,0.7,0.76,0.0,0.0,0.0,0,0,6,19
0.4,0.6,0.2,0.44,0.3,1.0,0.4615384615384615,6,14,0,5
0.4,0.6,0.3,0.48,0.3157894736842105,1.0,0.4799999999999999,6,13,0,6
0.4,0.6,0.4,0.76,0.0,0.0,0.0,0,0,6,19
0.4,0.6,0.5,0.76,0.0,0.0,0.0,0,0,6,19
0.4,0.6,0.6,0.76,0.0,0.0,0.0,0,0,6,19
0.4,0.6,0.7,0.76,0.0,0.0,0.0,0,0,6,19
0.5,0.5,0.2,0.44,0.3,1.0,0.4615384615384615,6,14,0,5
0.5,0.5,0.3,0.48,0.3157894736842105,1.0,0.4799999999999999,6,13,0,6
0.5,0.5,0.4,0.48,0.3157894736842105,1.0,0.4799999999999999,6,13,0,6
0.5,0.5,0.5,0.76,0.0,0.0,0.0,0,0,6,19
0.5,0.5,0.6,0.76,0.0,0.0,0.0,0,0,6,19
0.5,0.5,0.7,0.76,0.0,0.0,0.0,0,0,6,19
0.6,0.4,0.2,0.44,0.3,1.0,0.4615384615384615,6,14,0,5
0.6,0.4,0.3,0.44,0.3,1.0,0.4615384615384615,6,14,0,5
0.6,0.4,0.4,0.48,0.3157894736842105,1.0,0.4799999999999999,6,13,0,6
0.6,0.4,0.5,0.48,0.3157894736842105,1.0,0.4799999999999999,6,13,0,6
0.6,0.4,0.6,0.76,0.0,0.0,0.0,0,0,6,19
0.6,0.4,0.7,0.76,0.0,0.0,0.0,0,0,6,19
0.7,0.30000000000000004,0.2,0.4,0.2857142857142857,1.0,0.4444444444444445,6,15,0,4
0.7,0.30000000000000004,0.3,0.44,0.3,1.0,0.4615384615384615,6,14,0,5
0.7,0.30000000000000004,0.4,0.48,0.3157894736842105,1.0,0.4799999999999999,6,13,0,6
0.7,0.30000000000000004,0.5,0.48,0.3157894736842105,1.0,0.4799999999999999,6,13,0,6
0.7,0.30000000000000004,0.6,0.48,0.3157894736842105,1.0,0.4799999999999999,6,13,0,6
0.7,0.30000000000000004,0.7,0.76,0.0,0.0,0.0,0,0,6,19
0.8,0.19999999999999996,0.2,0.4,0.2857142857142857,1.0,0.4444444444444445,6,15,0,4
0.8,0.19999999999999996,0.3,0.44,0.3,1.0,0.4615384615384615,6,14,0,5
0.8,0.19999999999999996,0.4,0.44,0.3,1.0,0.4615384615384615,6,14,0,5
0.8,0.19999999999999996,0.5,0.48,0.3157894736842105,1.0,0.4799999999999999,6,13,0,6
0.8,0.19999999999999996,0.6,0.48,0.3157894736842105,1.0,0.4799999999999999,6,13,0,6
0.8,0.19999999999999996,0.7,0.48,0.3157894736842105,1.0,0.4799999999999999,6,13,0,6
