feature,importance
high_severity_count,0.2320121501550534
medium_confidence_detectors,0.1878656472698047
security_detectors_triggered,0.13616772035877872
low_severity_count,0.12279308335503353
total_detector_hits,0.08001713986853703
high_confidence_detectors,0.06256593403786358
max_cyclomatic_complexity,0.04161901604147096
cg_num_leaf_functions,0.03275363355465636
cg_num_nodes,0.025925537991803638
unique_vulnerability_types,0.02156053428679562
cfg_avg_branching,0.018419392050741685
optimization_detectors_triggered,0.014695043553438822
inheritance_depth,0.009722289079350951
medium_severity_count,0.004660529604380471
cg_has_cyclic_calls,0.0035408712756531506
dfg_num_external_sources,0.0030053256173082927
dfg_num_state_vars,0.0009358987236645871
dfg_num_sensitive_sinks,0.0002723980076864683
cfg_num_exit_points,0.0002714973983077999
cfg_num_nodes,0.00020581963473597536
cg_num_public_entry_points,0.00019505216882707973
cfg_cyclomatic_total,0.0001903588692170555
cfg_num_edges,0.00014556055808608094
num_state_vars,0.00013766321033623636
dfg_num_unvalidated_inputs,0.00010381934968273194
num_payable_functions,6.48069502383264e-05
cfg_max_depth,3.669397991668657e-05
num_external_calls,2.4337759492466006e-05
cg_num_external_calls,2.326028535154934e-05
dfg_has_cross_function_flow,2.2365323480718486e-05
cg_num_internal_functions,1.5145884595322084e-05
cg_avg_calls_per_function,1.2909194997725659e-05
cg_max_call_depth,1.1356835321764147e-05
dfg_num_tainted_flows,5.023165237796389e-06
cg_external_call_ratio,1.372394328309184e-06
num_library_calls,3.775159417657879e-07
cfg_has_complex_loops,3.089018759996242e-07
cg_num_edges,1.0028670904089719e-07
cfg_num_cycles,2.4727057664800713e-08
dfg_taint_to_sink_ratio,6.645246965251989e-10
num_low_level_calls,1.0971530158492921e-10
num_modifiers,0.0
