contract,vuln_prob,risk_score,expected_min,expected_max,correct
01_super_simple_safe.sol,0.6869495,68.69495,0,30,False
02_obvious_reentrancy.sol,0.896822,86.40183,70,100,True
03_complex_but_safe.sol,0.20547839,23.698559,30,60,False
04_simple_but_vulnerable.sol,0.83685905,81.40492,60,100,True
05_timestamp_manipulation.sol,0.68725955,68.72595,50,80,True
06_unchecked_external_call.sol,0.94147384,90.12282,60,100,True
07_integer_overflow_old.sol,0.4614797,46.14797,60,100,False
08_safe_with_checks.sol,0.33745024,33.74502,0,40,True
09_delegatecall_danger.sol,0.98090357,93.40863,70,100,True
10_tx_origin_auth.sol,0.95707387,91.42282,50,80,False
11_hidden_reentrancy.sol,0.40459207,40.459206,70,100,False
12_false_positive_trap.sol,0.9777002,93.14168,20,50,False
13_modern_defi_safe.sol,0.39864725,39.864723,20,50,True
14_assembly_safe.sol,0.2168461,24.456406,30,60,False
15_gas_griefing.sol,0.35473892,35.473892,50,70,False
16_front_running_vulnerable.sol,0.894931,86.24425,20,50,False
17_logic_error.sol,0.93239564,89.3663,20,50,False
18_oracle_manipulation.sol,0.3141172,31.411718,70,100,False
19_flash_loan_attack_vector.sol,0.8435898,81.96581,50,80,False
20_upgradeable_safe.sol,0.8817506,85.14588,30,50,False
21_timelock_missing.sol,0.2168461,24.456406,40,60,False
22_empty_contract.sol,0.014665343,10.97769,0,15,True
23_only_events.sol,0.080968514,15.397902,0,15,False
24_intentional_honeypot.sol,0.38956437,38.956436,80,100,False
25_gas_optimization_extreme.sol,0.15047783,20.031855,20,50,True
