contract,vuln_prob,risk_score,expected_min,expected_max,correct
01_super_simple_safe.sol,0.6869495,10.0,0,30,True
02_obvious_reentrancy.sol,0.896822,52.407844713205485,70,100,False
03_complex_but_safe.sol,0.20547839,10.397308077151285,30,60,False
04_simple_but_vulnerable.sol,0.83685905,48.63307569748211,60,100,False
05_timestamp_manipulation.sol,0.68725955,11.459803410462102,50,80,False
06_unchecked_external_call.sol,0.94147384,52.7581973552812,60,100,False
07_integer_overflow_old.sol,0.4614797,11.480747687043324,60,100,False
08_safe_with_checks.sol,0.33745024,13.02551858267809,0,40,True
09_delegatecall_danger.sol,0.98090357,65.0430550805582,70,100,False
10_tx_origin_auth.sol,0.95707387,78.81661823462004,50,80,True
11_hidden_reentrancy.sol,0.40459207,10.008242267995634,70,100,False
12_false_positive_trap.sol,0.9777002,53.69980327828123,20,50,False
13_modern_defi_safe.sol,0.39864725,10.0,20,50,False
14_assembly_safe.sol,0.2168461,20.720032548271014,30,60,False
15_gas_griefing.sol,0.35473892,10.81809177467501,50,70,False
16_front_running_vulnerable.sol,0.894931,53.960341644102236,20,50,False
17_logic_error.sol,0.93239564,50.024348027704875,20,50,False
18_oracle_manipulation.sol,0.3141172,10.0,70,100,False
19_flash_loan_attack_vector.sol,0.8435898,48.125852725235426,50,80,False
20_upgradeable_safe.sol,0.8817506,53.22783972340403,30,50,False
21_timelock_missing.sol,0.2168461,20.720032548271014,40,60,False
22_empty_contract.sol,0.014665343,10.373884080447233,0,15,True
23_only_events.sol,0.080968514,10.592222580538115,0,15,True
24_intentional_honeypot.sol,0.38956437,11.55383130228683,80,100,False
25_gas_optimization_extreme.sol,0.15047783,10.0,20,50,False
