ml_weight,semantic_weight,threshold,accuracy,precision,recall,f1,tp,tn,fp,fn
1.0,0.0,0.3,0.44,0.3,1.0,0.4615384615384615,6,5,14,0
1.0,0.0,0.35,0.44,0.3,1.0,0.4615384615384615,6,5,14,0
1.0,0.0,0.4,0.44,0.3,1.0,0.4615384615384615,6,5,14,0
1.0,0.0,0.45,0.44,0.3,1.0,0.4615384615384615,6,5,14,0
1.0,0.0,0.5,0.44,0.3,1.0,0.4615384615384615,6,5,14,0
1.0,0.0,0.55,0.48,0.3157894736842105,1.0,0.4799999999999999,6,6,13,0
1.0,0.0,0.6,0.48,0.3157894736842105,1.0,0.4799999999999999,6,6,13,0
0.8,0.2,0.3,0.44,0.3,1.0,0.4615384615384615,6,5,14,0
0.8,0.2,0.35,0.44,0.3,1.0,0.4615384615384615,6,5,14,0
0.8,0.2,0.4,0.44,0.3,1.0,0.4615384615384615,6,5,14,0
0.8,0.2,0.45,0.48,0.3157894736842105,1.0,0.4799999999999999,6,6,13,0
0.8,0.2,0.5,0.48,0.3157894736842105,1.0,0.4799999999999999,6,6,13,0
0.8,0.2,0.55,0.48,0.3157894736842105,1.0,0.4799999999999999,6,6,13,0
0.8,0.2,0.6,0.48,0.3157894736842105,1.0,0.4799999999999999,6,6,13,0
0.7,0.3,0.3,0.44,0.3,1.0,0.4615384615384615,6,5,14,0
0.7,0.3,0.35,0.44,0.3,1.0,0.4615384615384615,6,5,14,0
0.7,0.3,0.4,0.48,0.3157894736842105,1.0,0.4799999999999999,6,6,13,0
0.7,0.3,0.45,0.48,0.3157894736842105,1.0,0.4799999999999999,6,6,13,0
0.7,0.3,0.5,0.48,0.3157894736842105,1.0,0.4799999999999999,6,6,13,0
0.7,0.3,0.55,0.48,0.3157894736842105,1.0,0.4799999999999999,6,6,13,0
0.7,0.3,0.6,0.48,0.3157894736842105,1.0,0.4799999999999999,6,6,13,0
0.6,0.4,0.3,0.44,0.3,1.0,0.4615384615384615,6,5,14,0
0.6,0.4,0.35,0.48,0.3157894736842105,1.0,0.4799999999999999,6,6,13,0
0.6,0.4,0.4,0.48,0.3157894736842105,1.0,0.4799999999999999,6,6,13,0
0.6,0.4,0.45,0.48,0.3157894736842105,1.0,0.4799999999999999,6,6,13,0
0.6,0.4,0.5,0.48,0.3157894736842105,1.0,0.4799999999999999,6,6,13,0
0.6,0.4,0.55,0.48,0.3157894736842105,1.0,0.4799999999999999,6,6,13,0
0.6,0.4,0.6,0.76,0.0,0.0,0.0,0,19,0,6
0.5,0.5,0.3,0.48,0.3157894736842105,1.0,0.4799999999999999,6,6,13,0
0.5,0.5,0.35,0.48,0.3157894736842105,1.0,0.4799999999999999,6,6,13,0
0.5,0.5,0.4,0.48,0.3157894736842105,1.0,0.4799999999999999,6,6,13,0
0.5,0.5,0.45,0.48,0.3157894736842105,1.0,0.4799999999999999,6,6,13,0
0.5,0.5,0.5,0.76,0.0,0.0,0.0,0,19,0,6
0.5,0.5,0.55,0.76,0.0,0.0,0.0,0,19,0,6
0.5,0.5,0.6,0.76,0.0,0.0,0.0,0,19,0,6
0.4,0.6,0.3,0.48,0.3157894736842105,1.0,0.4799999999999999,6,6,13,0
0.4,0.6,0.35,0.48,0.3157894736842105,1.0,0.4799999999999999,6,6,13,0
0.4,0.6,0.4,0.76,0.0,0.0,0.0,0,19,0,6
0.4,0.6,0.45,0.76,0.0,0.0,0.0,0,19,0,6
0.4,0.6,0.5,0.76,0.0,0.0,0.0,0,19,0,6
0.4,0.6,0.55,0.76,0.0,0.0,0.0,0,19,0,6
0.4,0.6,0.6,0.76,0.0,0.0,0.0,0,19,0,6
0.3,0.7,0.3,0.76,0.0,0.0,0.0,0,19,0,6
0.3,0.7,0.35,0.76,0.0,0.0,0.0,0,19,0,6
0.3,0.7,0.4,0.76,0.0,0.0,0.0,0,19,0,6
0.3,0.7,0.45,0.76,0.0,0.0,0.0,0,19,0,6
0.3,0.7,0.5,0.76,0.0,0.0,0.0,0,19,0,6
0.3,0.7,0.55,0.76,0.0,0.0,0.0,0,19,0,6
0.3,0.7,0.6,0.76,0.0,0.0,0.0,0,19,0,6
